idx,in_reviewed_corpus,title,OD_conditioned,OD_quote,generalization_mechanism,gen_quote,predictive_representation,pred_quote,reward_temporality,rt_quote,reward_alignment,align_quote,compliance_stated,comp_quote,action_feasibility_constraint,actfeas_quote,algorithm_family,source,boundary_condition,boundary_quote,trip_completion_reported,tc_quote,code_release,code_quote,access_note,algorithm_family_coarse,action_granularity,actgran_quote,state_representation,staterep_quote
61,yes,Distributed Learning for Vehicle Routing Decision in Software Defined Internet of Vehicles,yes,Each multi-agent reinforcement learning task plans paths for vehicles with the same start and end point,none,,none,,step-wise,"uses the difference between traffic conditions of state sk and sk+1, i.e. before and after route adjustment to form a overall-reward function",system,"the goal of vehicle routing decision is to improve traffic efficiency by reducing congestion, which requires collaboration between vehicles",implicit-100%,,enforced,"the direction that the vehicle v p can choose is Ap = {a1 p, a2 p, ..., aNa p}",distributed multi-agent deep Q-learning in software-defined IoV with edge-cloud collaboration,full-text,not-addressed,,not-reported,,not-stated,,full-text (acquired 2026-07-07 cycle),MARL,next-link,"the direction that the vehicle v p can choose is Ap = {a1 p, a2 p, ..., aNa p}",raw-vector,the states are abstracted as a one-dimensional vector
62,yes,Proactive Urban Expressway Guidance: A Hybrid Approach Using Reinforcement Learning and Traffic Prediction Models,no,"For the predicted road network at time step t + delta t, we consider three critical parameters for each road segment: the vehicle count, the average speed of vehicles and the mean length",none,,rollout-capable,"For the predicted road network at time step t + t, we consider three critical parameters for each road segment m: the vehicle count bt+t,m, the average speed of vehicles vt+t,m and the mean length lt+t,m.",step-wise,"Due to the potential convergence issues arising from delayed rewards, we employ the API in SUMO to approximate vehicular travel times.",system,"In the context of fully cooperation, the cumulative reward for each agent is denoted as Ri, and is uniform across all agents",explicit,the compliance rate of drivers and the prediction accuracy of traffic flow are critical factors influencing the overall effectiveness of the results...scenarios with compliance rates 80% and 90% are simulated,enforced,"the action of an agent is defined as the route division/distribution of vehicles among the feasible paths of the corresponding primary OD, in which the path set is predetermined.",MARL actor-critic (VDAC),full-text,not-addressed,,not-reported,,not-stated,,"full-text (re-coded, all 10 fields)",MARL,other,the action of an agent is defined as the route division/distribution of vehicles among the feasible paths ... an N-dimensional vector,raw-vector,"feeding the current system traffic metrics (i.e., travel demand, network flow, and route choice proportion) into the traffic prediction module"
63,yes,A Bi-Level Network-Wide Cooperative Driving Approach Including Deep Reinforcement Learning-Based Routing,yes,"The blue-dotted routes indicate the shortest subsequent routes for the candidate routes to the destination. Observation Space = [one-step range observation, two-step range observation]",other,the relative nature of the backpressure based reward significantly enhances the generalizability and scalability of the routing model,none,,step-wise,we propose a backpressure based reward function ... the reward function should be based on locally accessible traffic information,mixed,the reward function R is dedicated to guiding the agent to learn a routing policy that is beneficial to both the microscopic individual vehicles and the macroscopic traffic system,implicit-100%,,enforced,"the action space consists of candidate routing choices. Within a typical urban road network, there are generally two candidate routing choices at each intersection",modified discrete SAC routing agents (shared policy) with adaptive MCTS cooperative driving lower level,full-text,boundary-open-addressed,The arriving vehicles meet the Poisson distribution and continuously drive into the simulated road network from the boundary of the network,not-reported,,not-stated,,full-text (acquired 2026-07-07 cycle),MARL,next-link,"when arriving at an intersection node, the ego vehicle needs to choose a route within a one-step space from the candidate routes to drive (i.e., Take one step)",raw-vector,"Observation Space O = [OO, OT], where the left subfigure is one-step range observation"
64,yes,Self-Organized Routing for Autonomous Vehicles via Deep Reinforcement Learning,no,"the state st needs to describe the traffic state of each link within the basic traffic network ... we decompose the links of the traffic network into different cells, and the vehicles can make routing choices by observing the traffic density within each cell",none,,none,,realized,the travel time involved in the designed long-term reward refers to the actual travel time,mixed,a novel reward mechanism of DRL is established by jointly considering the travel time of each individual vehicle and the average travel time of all vehicles within its perceived range,implicit-100%,,enforced,"each candidate link is considered as an action ... A = {a1, a2}, where a1 and a2 denote that the agent chooses Route 1 and Route 2",self-organized per-vehicle DQN (prioritized replay + double + dueling) with individual-plus-neighborhood reward,full-text,boundary-open-addressed,"an episodic task of M vehicles continuously arriving, routing, and then leaving",not-reported,,not-stated,,full-text (acquired 2026-07-07 cycle),MARL,next-link,"each candidate link is considered as an action ... A = {a1, a2}",raw-vector,we describe the traffic density of each cell using one-hot encoding technique
65,yes,Graph Convolutional Network Based Multi-Objective Meta-Deep Q-Learning for Eco-Routing,no,P ∈RN×1 is the position information vector of the subject vehicle. Its element pi is 1 if the subject vehicle is on link i.,meta-RL,This study adopts deep Q-learning (DQL) based meta-reinforcement learning for eco-routing.,none,We bypass the vehicle trajectory prediction and fuel/energy consumption prediction. This is because the predicted values may be inaccurate and may not reflect the reality.,step-wise,The reward r is defined as a vector that contains the negative values of costs after an action is taken.,individual,"Once the agent reaches the final destination, the reward will be maximum, i.e., 0. In that sense, the agent will be rewarded for getting close to the destination.",implicit-100%,,enforced,"For a typical intersection with four road-approaches possible actions are turning left, turning right, and driving straight through the intersection.",DQN (GCN-based meta-deep Q-learning),full-text,not-addressed,,not-reported,,not-stated,,"full-text (re-coded, all 10 fields)",DQN-family,next-link,"possible actions are turning left, turning right, and driving straight through the intersection ... A = {left, right, straight}",graph-encoder,graph convolutional network (GCN) is an efficient and suitable feature representation for a signalized traffic network
66,yes,SEGAC: Sample Efficient Generalized Actor Critic for the Stochastic On-Time Arrival Problem,yes,"we first extract the vehicle's current residing node i, destination node d, and the remaining budget",context-conditioning,the real-valued node embedding vector endows SEGAC with the generalized decision-making ability ... SEGAC is able to output an up-to-standard performance for completely un-trained OD pairs,none,,realized,"the 'rewarding' to a given policy, is too sparse, i.e., 1{R(tau) <= T} in {0, 1}",individual,The path-based SOTA problem can be formulated as: maximize P(cx <= T),implicit-100%,,enforced,Pod as the complete set of feasible paths connecting o to d,sample-efficient generalized actor critic (on/off-policy generalized policy gradient) for stochastic on-time arrival,full-text,not-addressed,,reported,"for T = tLET, SEGAC is able to reach 50% SOTA probability after around 100 training episodes",released,https://github.com/YoZo-X/SEGAC,full-text (acquired 2026-07-07 cycle),Policy-gradient-AC,next-link,The action (a) corresponds to which edge to execute,graph-encoder,a node embedding module which maps nodes to condensed real-valued vectors
67,yes,GE-DDRL: Graph Embedding and Deep Distributional Reinforcement Learning for Reliable Shortest Path: A Universal and Scale Free Solution,yes,"we just need to augment the input feature vector of the DDRL module with the embedded destination nodes, i.e., Zπ(φ(õ), a) is augmented to Zπ(φ(õ), φ( ˜d), a)",graph-inductive,"in order to achieve the generalization ability to new destination nodes, we employ one of the canonical graph embedding techniques (Skip-Gram) to compress the nodes’ representation into d-dimensional real-valued vectors.",none,,step-wise,"the immediate reward r is the sampled travel time of Edge i j, i.e., ci j.",individual,"the immediate reward r is the sampled travel time of Edge i j, i.e., ci j.",implicit-100%,,action-masking,we propose a pruning algorithm to filter out the sub-optimal policy in the exploration step.,"Distributional RL (FPN-QVN, graph embedding)",full-text,not-addressed,,not-reported,,released,"The source code of GE-DDRL is publicly available,4 with the FPN module of GE-DDRL based on [62].","full-text (re-coded, all 10 fields)",Distributional-RL,next-link,"the action of the vehicle (a) is the edge that the vehicle executes, e.g., Edge ij",graph-encoder,we employ one of the canonical graph embedding techniques (Skip-Gram) to compress the nodes' representation into d-dimensional real-valued vectors
68,yes,Shortest-Time Path Planning Under Carbon Emission Constraints via Reinforcement Learning,yes,"The state consists of the current location node, remaining emission budget, and fixed destination, denoted as: s = (u, b; d)",context-conditioning,enabling generalized decision making across arbitrary OD pairs and continuous emission budgets within a unified modeling structure,none,,step-wise,"the reward function focuses exclusively on travel-time efficiency and is composed of three components: stepwise rewards for non-terminal transitions, terminal rewards for successful arrivals at the destination",individual,The reward function is designed to guide the agent toward minimizing cumulative travel time while strictly respecting emission feasibility constraints,implicit-100%,,action-masking,"learning and decision-making are conducted entirely within a pruned state-action space that respects the hard emission limit at all times ... an action a = (u to v) is feasible if: b - ca >= 0, b - ca >= LBemis(v to d)",UVFA dual-tower Double DQN with behavior-cloning pretraining and hard emission action masking,full-text,not-addressed,,reported,"Model performance under insufficient emission budgets: path feasibility rate, emission overrun rate, and LOR",not-stated,,full-text (acquired 2026-07-07 cycle),DQN-family,next-link,"At each node u, the agent takes an action by selecting one of the outgoing links",graph-encoder,a dual-tower network structure that combines node embedding tables with contextual features
69,yes,DRL Router: Distributional Reinforcement Learning-Based Router for Reliable Shortest Path Problems,no,"Let (o, d) be a user-specified origin-destination (OD) pair, and a path is represented by an incidence vector",none,,none,it is easy to construct a database storing real travel time samples of all the edges in the transportation network,step-wise,"the immediate reward rt+1 is the sampled travel time of edge ij, i.e., cij",individual,"the immediate reward rt+1 is the sampled travel time of edge ij, i.e., cij",implicit-100%,,enforced,"the action of the vehicle at is the edge that the vehicle takes, e.g., edge ij",Distributional RL (C51-based DQN),full-text,not-addressed,,not-reported,,released,The source code of DRL-Router as well as the related state-of-the-art algorithms is publicly available at https://github.com/YoZo-X/DRL-Router.,"full-text (re-coded, all 10 fields)",Distributional-RL,next-link,"the action of the vehicle at is the edge that the vehicle takes, e.g., edge ij",unclear,
70,yes,Optimization Path Planning Algorithm Based on Deep Reinforcement Learning,unclear,"performance indexes discuss ""the distance from the starting point to the end point"" without stating whether the policy is conditioned on arbitrary OD pairs",unclear,no transfer/domain-rand/meta-RL/graph-inductive mechanism is described,local-prediction,The prediction function of DRL model predicts the future state or output of the model based on historical input and output information and future input information,step-wise,"the reward function includes the reward of reaching the target node, the reward of avoiding congestion and so on",individual,so as to fully consider the actual traffic flow and provide accurate route suggestions for users,unclear,no discussion of driver compliance with suggested routes,unclear,"no discussion of action feasibility constraints (e.g., masking of infeasible turns)",Actor-Critic,full-text,not-addressed,,not-reported,,not-stated,,full-text,Policy-gradient-AC,unclear,,raw-vector,"information such as traffic flow is taken as a part of the state. According to the state representation, a deep neural network is established"
71,yes,Research on Emergency Rescue Path Optimization Method Based on Deep Reinforcement Learning,no,"The state space S represents the current position of the emergency vehicle, corresponding to specific road nodes in the network",none,,none,,step-wise,"R = -(t_ij^a) + ... where t_ij^a represents the travel time from state s_i to s_j, t_ea^i denotes the estimated arrival time to the accident site from s_i, q_l indicates the cumulative vehicle queue length",mixed,enables the reinforcement learning algorithm to identify paths that minimize both arrival time and congestion impact,implicit-100%,,enforced,"The action space A indicates the potential next road nodes that the emergency vehicle can proceed to, based on the connectivity of the road network",prioritized-experience-replay DQN with attention (emergency rescue routing),full-text,not-addressed,,not-reported,,not-stated,,full-text (acquired 2026-07-07 cycle),DQN-family,next-link,The action space A indicates the potential next road nodes that the emergency vehicle can proceed to,raw-vector,"The state space represents the current position of the emergency vehicle, corresponding to specific road nodes"
72,yes,Safety-Aware Path Planning for Post-Disaster Rescue Vehicles,no,"This thesis studies a single accident point, but in actual environment, there may be multiple accident points.",none,"Our next work will focus on the multi-objective path planning problem, which is more practical.",local-prediction,"designs a Transformer-based prediction algorithm, which predicts whether a path is congested or at risk based on the environmental and resource characteristics of the path",unclear,This metric indicates the total rewards obtained by the agent during a training round.,individual,"improve the rescue efficiency of emergency rescue vehicles, and ensure driving safety",implicit-100%,adjusts the global path of emergency rescue vehicles in real time to avoid congested paths and risky paths,enforced,emergency rescue vehicles should avoid paths that may be risky and congested during driving,DQN (with Transformer-based prediction module; authors' PDQN),full-text,not-addressed,,reported,The success rate is the proportion of the number of successful route finding of emergency rescue vehicles in the total number.,not-stated,,full-text (unlocked),DQN-family,candidate-path,selects actions according to the state characteristics and adjusts the global path of the emergency rescue vehicle in real time,other-learned-encoder,"the input of the multi-head self-attention layer in the Transformer module. After passing through the encoder and decoder, the dimension feature matrix is extracted"
74,yes,Path Planning in Urban Environment Based on Traffic Condition Perception and Traffic Light Status,no,"Each time a vehicle reaches a new roadway, it indicates a new state ... the state of the agent at road segment e1 is s1",none,,none,,step-wise,the reward is the opposite of the sum of the vehicle's travel time and waiting time: reward = -(Ttravel + Twait),individual,the reward is the opposite of the sum of the vehicle's travel time and waiting time,implicit-100%,,enforced,"the reinforcement learning agent can only turn left, turn right or go straight from one state to another, so the action space is 3",A2C path planning with traffic-light-status-aware reward (V2V/V2I sensing),full-text,boundary-open-addressed,enumerate all possible combinations of vehicles entering and exiting the road network,not-reported,,not-stated,,full-text (acquired 2026-07-07 cycle),Policy-gradient-AC,next-link,"the reinforcement learning agent can only turn left, turn right or go straight from one state to another, so the action space is 3",raw-vector,"Each time a vehicle reaches a new roadway, it indicates a new state"
75,yes,Autonomous Vehicles in Smart Cities: a Deep Reinforcement Learning Solution,no,Sigma := {sigma_i} is the set of usable edges and related distribution densities,none,,none,,step-wise,one obtains good rewards (performance) as long as the vehicle density decreases ... the component is the total cumulative waiting time of the vehicle AV i,mixed,the local reward function has been selected ... vehicle density decreases [network term] ... the total cumulative waiting time of the vehicle AV i [individual term],implicit-100%,,enforced,"'turn right', 'turn left', 'straight' (each possible action is labeled with an integer number)",distributed deep Q-learning routing agents (SUMO-MATLAB co-design),full-text,boundary-open-addressed,the numbers of vehicles to insert are given for certain roads located at the network's border,not-reported,,not-stated,,full-text (acquired 2026-07-07 cycle),MARL,next-link,"'turn right', 'turn left', 'straight' (each possible action is labeled with an integer number)",raw-vector,"the state vector xi(t) = [pi(t), pdot_i(t)] accounting for agent planar position and velocity components"
76,yes,Intelligent Routing in Connected Autonomous Vehicles using the ADAPT-S Learning Architecture,unclear,,none,,unclear,,unclear,,unclear,,implicit-100%,,unclear,,multi-agent actor-critic with attention plus ant-colony global routing (ADAPT-S hybrid),full-text,not-addressed,,not-reported,,not-stated,,full-text (acquired 2026-07-07 cycle),MARL,unclear,,unclear,
77,yes,Situation-aware Path Optimization for Autonomous Systems: A Deep Reinforcement Learning based Approach,yes,"an input layer corresponding to 8 features: start node, end node, time, day, vehicle count, weather, road condition, and special event",none,"Broader validation, including live deployments, handling rare or outlier real world events, and testing transferability to diverse cities or larger networks",rollout-capable,"For every potential path, IRO invokes adaptive Monte Carlo sampling to quantify travel time variability and the probability of events that could impact the route",step-wise,The multi-objective reward function is defined as R = α1 · (−time) + α2 · speed + α3 · (−queue) + α4 · safety,individual,"selecting routes that optimize not only for speed but also for risk, congestion, and environmental safety across various transport modes",implicit-100%,"Once the DQN selects the best route, travel times were estimated for three different modes of transport using the Monte Carlo approach",unclear,"a Deep Reinforcement Learning agent equipped with a deep Q-network evaluates a broad action space, selecting routes",DQN (PathSelectionDQN) within an NN+HMM+Monte-Carlo pipeline,full-text,not-addressed,,reported,"The success rate for optimally reaching the destination rose to 92% with RL, compared to 76% using static Dijkstra's algorithm.",not-stated,,full-text,DQN-family,candidate-path,"a Deep Reinforcement Learning agent equipped with a deep Q-network evaluates a broad action space, selecting routes ... Output: Optimal route from source to destination",raw-vector,"PathSelectionDQN, which operates on a 10-dimensional state vector encoding path statistics, traffic profiles"
78,yes,Resilient Multi-Agent Deep Reinforcement Learning for Routing Control via Traffic Cost Fields,yes,"for its OD pair (oi, di), we precompute top-K candidate shortest paths under free-flow costs and store them in the vehicle state ... The context vector si k comprises goal and global features, including destination features",none,,none,,step-wise,we assign a per-decision reward ... the shaped physical cost of the selected edge,mixed,incorporate a marginal-cost shaping term in the learning reward to better align decentralized decisions with network-level efficiency,partial-modeled,"we explicitly consider a low controllable penetration rate (5%), which represents a realistic partial compliance scenario",action-masking,The Boolean mask mi k enforces feasibility over Out(vi k) during action selection,shared-parameter multi-agent PPO next-hop routing over factorized traffic-cost fields (masked observations),full-text,not-addressed,,not-reported,,not-stated,,full-text (acquired 2026-07-07 cycle),MARL,next-link,vehicles ... choose next hops from the outgoing edge set Out(vi k) with infeasible edges masked,raw-vector,"oi k = ({fe(tk)} for e in Out(vi k), si k, mi k) where each fe(tk) aggregates static edge attributes and dynamic traffic cost field features"
79,yes,Dynamic Route Optimization using D* Lite and DQN Algorithm,yes,"Input: Graph G(V, E), Start node sstart, Goal node sgoal",none,"Future scopes includes scaling the model to larger city networks, introduce multi-agent coordination of vehicles distributed",unclear,,unclear,,individual,minimizing travel cost and travel delay,implicit-100%,Follow D* Lite's planned segment to si+1,unclear,the street network is represented in the form of a weighted graph and reads synthetic traffic data via JSON inputs,Hybrid D* Lite + DQN,full-text,not-addressed,,reported,Percentage of successful path completions under dynamic obstacles.,not-stated,,full-text,Model-based-Hybrid,next-link,Use DQN to select optimal local action at; Move to next node according to at,raw-vector,Move to next node according to at; Receive reward rt and update local state St+1
81,yes,A Communication Resource Enhanced Intelligent Road Traffic Routing Scheme,no,"xi is the state subspace of vehicle, which includes traffic condition Ti from located road and adjacent roads, current time t and QoS requirement Tq i",none,,none,,predicted,T e i represents time of agent i taken to reach the destination in self-evolution iteration,mixed,"Rq i represents the QoS reward for travel time ... Rp i represents the reward in evolving routing, which reflects the impact on congestion on the route",implicit-100%,,unclear,,multi-agent DDPG with ITS-side traffic self-evolution target evaluation (MTSE),full-text,not-addressed,,reported,we apply travel demand satisfaction ratio and travel timeout to indicate the quality of individual travel for single vehicle,not-stated,,full-text (acquired 2026-07-07 cycle),MARL,next-link,the actor network's output probability is evenly mapped into four actions,raw-vector,"xi is the state subspace of vehicle, which includes traffic condition Ti from located road and adjacent roads, current time t and QoS requirement"
82,yes,Work-in-Progress: Leveraging the Selfless Driving Model to Reduce Vehicular Network Congestion,no,the start and destination points are fixed within the given map,none,randomly-generated start and destination points are necessary for realistic emulation of traffic routing use cases,none,State refers to a vector that contains information such as the vehicles' location and the congestion ratio (CR) of each edge,step-wise,the reward becomes a −1 penalty for each second the vehicle spent since the last decision,individual,A huge positive reward is given if the vehicle controlled by the agent reaches the destination,explicit,The target vehicle will strictly follow the instructions given by the agent to travel in the system,not-enforced,"If the action is invalid, a negative reward, which is a penalty, is given",DQN (deep Q-learning),full-text,not-addressed,,not-reported,,not-stated,,full-text,DQN-family,next-link,"At each junction, the agent has at most six options: straight, slightly left, left, turnaround, right, slightly right",raw-vector,information such as the vehicles' location and the congestion ratio (CR) of each edge
83,yes,A Deep Q Learning-Model Predictive Control Approach to vehicle routing and control with platoon constraints,no,"the set state of the agents, specifically the driving edge of each vehicle and the vehicles' density on that edge",none,,none,,step-wise,The reward is good if the density decrease because of the action ... defined as the current longitudinal velocity of the vehicle divided by the euclidian distance from the current location to the destination,mixed,"derive adequate routing decisions in order to alleviate traffic congestion on the overall URN, while considering its own destination",implicit-100%,,enforced,it is ensured that the constrained tracking problem ... has always a feasible solution when implemented in a receding horizon fashion,deep Q-learning path planner with distributed receding-horizon MPC platoon control,full-text,not-addressed,,not-reported,,not-stated,,full-text (acquired 2026-07-07 cycle),Model-based-Hybrid,next-link,"the action space of the vehicle AV i, e.g. 'turn right', 'exit at the next junction'",raw-vector,"the set state of the agents, specifically the driving edge of each vehicle and the vehicles' density on that edge"
84,yes,A Dynamic Risk-aware Routing Recommendation Using Deep Reinforcement Learning,no,"IMADQN first establishes two separate neural networks (Q-real and Q-estimated) for each agent, with the input being the state corresponding to the agent",none,"all agents share the same experience replay buffer, and then every once in a while, a certain number of experience tuples are randomly sampled",none,The state of an agent can be defined by the point on the grid at a certain moment.,realized,r2i represents the reward based on the change in relative distance between the current position and the destination before and after the action,individual,"Ri is the reward obtained by a single agent after taking a single action, and each Ri consists of three parts",implicit-100%,"At each time step, each agent executes the action with the highest Q-value in the environment according to the neural network",action-masking,"the agent's action is also influenced by its location, as agents located in the corners will have fewer available action directions",MARL (independent multi-agent DQN / IMADQN),full-text,boundary-open-addressed,"Furthermore, the agent's action is also influenced by its location, as agents located in the corners will have fewer available action directions.",not-reported,,not-stated,,full-text,MARL,next-link,"the agent's action is also influenced by its location, as agents located in the corners will have fewer available actions",raw-vector,Agents that make the same action (from the same position to another of the same position) [grid-position state]
85,yes,Path planning for vehicle platoons under routing decisions: a distributed approach combining Deep Reinforcement Learning and Model Predictive Control,no,"S is the set state of the agents, specifically the driving routes of each vehicle",none,"The environment is the URN which is traduced into a graph, see figure 3. The graph is translated into a tree with the initial location",none,"S is the set state of the agents, specifically the driving routes of each vehicle",step-wise,The aim of the first term is to alleviate traffic congestion. It is the gradient of traffic density over the overall URN,mixed,The aim of the first term is to alleviate traffic congestion. It is the gradient of traffic density over the overall URN,implicit-100%,the high-level routing decisions arising from the distributed deep reinforcement learning operations are translated into manipulable set-points for the underlying bank of receding horizon controllers,enforced,"the PI regions must take of safe distances amongst the vehicles, therefore they have to be derived a level-by-level procedure",Q-learning (DRL) + distributed Model Predictive Control (RHC),full-text,not-addressed,,not-reported,,not-stated,,full-text (unlocked),Model-based-Hybrid,next-link,"A_nu is the action space of the vehicle nu, e.g. 'turn right', 'exit at the next junction'",raw-vector,"S is the set state of the agents, specifically the driving routes of each vehicle"
86,yes,A Joint Design of Path Planning and Lane Reservation for Emergency Service in ITS,unclear,,none,,none,,step-wise,"The agent aims to minimize EVs' response time on every road segment. The agent's reward is determined by the negative weighted sum of the EV's travel time, time spent preempting the signal",individual,The agent aims to minimize EVs' response time on every road segment,implicit-100%,,enforced,"the reinforcement learning agent can go from one state to another by turning left, right, around, or straight. Hence, the action space size is 4",soft actor-critic EV path planning with cooperative lane reservation (vehicular fog computing),full-text,not-addressed,,not-reported,,not-stated,,full-text (acquired 2026-07-07 cycle),Policy-gradient-AC,next-link,"the reinforcement learning agent can go from one state to another by turning left, right, around, or straight. Hence, the action space size is 4",unclear,
87,yes,A Reinforcement Learning-Based Path Recommendation Strategy Considering Broadcast Disturbance and Behavioral Response,yes,"the intelligent agent selects one path to execute from K candidate paths from the origin to the destination, and the action set is denoted as {1, 2, ..., K}",none,,none,,predicted,"The travel time cost is calculated based on the expected travel time, while the disturbance term is incorporated by modeling the broadcast reception probability and the non-response probability",individual,"the reward function is defined as the comprehensive negative effect of travel time, delay, and lane changing cost",explicit,"Communication coverage insufficiency and driver compliance are modeled as independent probabilistic events, and a risk aware expected travel time is constructed",enforced,the intelligent agent selects one path to execute from K candidate paths from the origin to the destination,PPO path switching/continuation over K candidate paths with broadcast-disturbance and compliance risk modeling,full-text,not-addressed,,reported,"Task Completion Rate: Proportion of trips that reach the destination within the allowed time window, indicating reachability and reliability",not-stated,,full-text (acquired 2026-07-07 cycle),Policy-gradient-AC,candidate-path,"the intelligent agent selects one path to execute from K candidate paths from the origin to the destination, and the action set is denoted as {1, 2, ..., K}",raw-vector,This paper maps the road network features at each time slot t into a state vector
88,yes,Personalized and Context-aware Route Planning for Edge-assisted Vehicles,yes,"The framework is designed to receive routing requests from vehicles in the form of a tuple <source, destination>, aiming to identify routes that connect them",none,,local-prediction,"Future road usage, number of vehicles that are expected to travel on the road eij",predicted,"the actual time Ta, instead, is calculated based on the current average speed along the route, which includes the current traffic conditions",mixed,the time taken to reach the destination; and (iii) the global traffic flow to ensure smooth vehicular mobility in the considered area,explicit,The suggested route is re-planned if any of the three following conditions are satisfied: (i) Driver deviates from the suggested route,enforced,we limit the action space A to a set of K candidate routes,GNN (GIN-E) + DQN,full-text,not-addressed,,not-reported,,not-stated,,full-text,DQN-family,candidate-path,we limit the action space A to a set of K candidate routes,graph-encoder,"we leverage the GIN-E architecture, a variant of GNN that facilitates the information exchange between the graph [nodes and edges]"
89,yes,Research on Travel Paths Based on Car-Hailing Services Connecting with Rail Transit,no,The state of the agent is defined as the set of all available nodes in the road network,none,,none,,step-wise,d is the distance from the current point to the destination. d_next is the distance from the next state to the destination. beta is the reward transfer coefficient,individual,"An improved Sarsa algorithm is employed to search for optimal travel paths based on the principle of connection travel, providing passengers with better travel decision-making",implicit-100%,,enforced,"it is assumed that when the agent is at any node in the road, it can choose the next intersection connected to it as the next action",improved Sarsa (tabular) for multimodal car-hailing plus subway connection paths,full-text,not-addressed,,not-reported,,not-stated,,full-text (acquired 2026-07-07 cycle),Tabular-Q-Sarsa,next-link,"when the agent is at any node in the road, it can choose the next intersection connected to it as the next action",raw-vector,The state of the agent is defined as the set of all available nodes in the road network [tabular Sarsa]
90,yes,Q-Learning-Based Energy-Aware Route Planning for Electric Vehicles on Real Road Networks with Charging Constraints,yes,"Each state is represented by a 16-dimensional vector that includes distance to the destination, battery level, number of neighbors, nearby charging stations",none,,none,,step-wise,"The reward function is a multi-component structure that incentivizes approaching the destination, penalizes unnecessary loops and backtracking, and rewards smart charging decisions",individual,The reward function is a multi-component structure that incentivizes approaching the destination,implicit-100%,,unclear,,tabular Q-learning and hierarchical Q-learning for charging-constrained energy-aware EV routing,full-text,not-addressed,,not-reported,,not-stated,,full-text (acquired 2026-07-07 cycle),Tabular-Q-Sarsa,next-link,"Ajanin cevresiyle etkilesimi, bu grafik yapisi uzerindeki hareketler ve batarya seviyesi ile dogrudan iliskilidir [the agent acts through movements on the road-graph structure]",raw-vector,"Each state is represented by a 16-dimensional vector that includes distance to the destination, battery level, number of neighbors, nearby charging stations"
91,yes,Cutting-Edge Travel Planner: Intelligent Route Recommendation System using Enhanced Learning Scheme with AI Principles,no,"states represent the current location and prevailing conditions, actions denote potential routes, and rewards quantify the desirability of each action",none,,unclear,,unclear,,individual,designing reward functions that incentivize the selection of routes aligned with user preferences and conducive to efficient navigation,implicit-100%,,enforced,actions denote potential routes,collaborative filtering + RL route recommendation (base algorithm described only as Q-learning/DQN/policy-gradient options),full-text,not-addressed,,not-reported,,not-stated,,full-text (acquired 2026-07-07 cycle),Unspecified,candidate-path,actions denote potential routes,unclear,
92,yes,Multi-Objective Route Optimization via Dueling DQN for Teleoperated Driving,yes,"The state space S encodes vehicle position, destination, network conditions, and path metrics (14 dimensions total)",none,,none,,step-wise,"R(s, a) = wd * Rd(s, a) + wb * Rb(s, a) + wl * Rl(s, a) [weighted combination of distance, bandwidth, and latency metrics]",individual,"rewards are designed as a weighted combination of distance, bandwidth, and latency metrics",implicit-100%,,action-masking,"action masking for graph connectivity constraints, preventing invalid moves to non-adjacent or previously visited nodes during both training and inference",Dueling DQN multi-objective routing over digital-twin network metrics (teleoperated driving),full-text,not-addressed,,reported,"The assessment used 2,500 random scenarios with key metrics including success rate, path length, distance, bandwidth, latency ... The success rate reached nearly 100% after a few hundred episodes",not-stated,,full-text (acquired 2026-07-07 cycle),DQN-family,next-link,actions correspond to selecting the next road segment ... The action space A consists of selecting adjacent nodes with masking,raw-vector,"The state space S encodes vehicle position, destination, network conditions, and path metrics (14 dimensions total)"
93,"no (author own study, post-dates the search window; excluded from every count)",COREAN: Context-conditioned meta-reinforcement learning for expectation-aligned route guidance in time-critical urban mobility,yes,"This context is then used to condition the routing policy, enabling the agent to maintain destination-directed behavior throughout its trip.",context-conditioning,employs a context encoder to extract OD-level semantics and integrates them into the policy via Feature-wise Linear Modulation (FiLM),local-prediction,"the concrete state employed in this study explicitly retains static link attributes, incorporates topological guidance features via the travel heading and the remaining distance to the destination, and represents the dynamic component with predicted mean speeds on the current and outgoing links",predicted,the uncertainty reward integrates prediction reliability with temporal accuracy; Delta t_expected represents the expected travel time of the same transition under predicted traffic conditions,individual,ensuring ETA reliability at the individual trip level serves as the primary operational objective,explicit,routes are assigned to operator-controlled vehicles rather than suggested to independent drivers,action-masking,"In cases where fewer outgoing links exist, the corresponding entries are set to zero and the action set is masked to preserve a fixed feature dimension.","Meta-RL actor-critic with FiLM-based context conditioning (GraphWaveNet traffic predictor, replay + demonstration buffer)",full-text,boundary-open-addressed,"in boundary-open networks, where certain peripheral links terminate without further connection, the agent may exploit the time-based reward by exiting the network early instead of reaching the destination",reported,maintains a 100% trip completion rate where baseline methods fail to reach destinations,not-stated,,full-text,Policy-gradient-AC,unclear,,unclear,
