title,abstract,authors,year,venue,doi,citationCount,pool,old_include
Bridging Transparency and Control Using Explainable Deep Reinforcement Learning in AI-Powered Autonomous Vehicle,"Autonomous Vehicles (AVs) are at the forefront of intelligent transportation systems, requiring robust and adaptive decision-making capabilities to navigate complex and dynamic environments. While Deep Reinforcement Learning (DRL) has demonstrated promising results in optimizing autonomous driving policies through continuous learning, its opaque decision-making process poses significant challenges in terms of trust, safety, and regulatory compliance. This study proposes a novel framework that integrates Explainable AI (XAI) with DRL to bridge the gap between high-performance autonomous control and interpretability. The proposed system enables real-time transparency by offering visual and semantic explanations for driving actions, policy decisions, and environmental interactions. Through simulation in high-fidelity driving environments and evaluation on real-world datasets, the model demonstrates improved policy interpretability, safe exploration, and user trust without compromising performance. This approach addresses a critical need for explainable autonomy paving the way for the deployment of accountable and human-understandable AI systems in next-generation self-driving vehicles.",K. P. Senthilkumar; E. Anbalagan,2025,"2025 International Conference on Data, Energy and Communication Networks (DECoN)",10.1109/DECoN67170.2025.11447673,,gate1,
AI-Driven Intelligent Vehicle Behavior Decision in Software Defined Internet of Vehicle,"Intelligent driving technology plays a key role in reducing road traffic accidents and ensuring driving, where the vehicle behavior decision making capability largely determines the driving performance of intelligent vehicles. At this point, more research is focused on enhancing vehicle environment identification and vehicle control capabilities, with decision-making systems receiving less attention. In order to improve the accuracy of intelligent vehicle behavior decision making and ensure the active safety of path planning, this paper firstly establishes an edge intelligence based software-defined Internet of Vehicles (ESIOV) architecture. Then, a POMDP-based intelligent vehicle behavior decision model is designed using the time-series iterative property of partially observable Markov decision process (POMDP). Finally, a reinforcement learning vehicle behaviour decision (ERVBD) algorithm based on edge intelligence is proposed to ensure the accuracy of intelligent vehicle behavior decision results and improve the decision speed. The simulation results show that ERVBD can successfully implement vehicle behavioural decision making, enabling intelligent vehicles to anticipate collision risks and adopt reasonable avoidance strategies in real time.",J. Liu; K. Lin; G. Fortino,2022,"2022 8th International Conference on Control, Decision and Information Technologies (CoDIT)",10.1109/CoDIT55151.2022.9803919,1.0,gate1,
Deep Graph Representation Learning to Solve Vehicle Routing Problem,"The performance of a neural network relies on the depth of a model to learn the structural correlations of the features. Nevertheless, Graph Neural Networks (GNN) tends to lose its efficiency as the depth increases. In this paper we propose a technique to alleviate this problem by building on the existing GNN architecture. In effect, we installed a gating mechanism to overcome the propagation of noise information across the layers and trained the model using a proximal policy optimization (PPO), a policy gradient-based reinforcement learning algorithm. We trained the proposed model on a capacitated vehicle routing problem (CVRP) datasets generated on the fly. We used an encoder-decoder framework where the encoder learns the representation of the graph structured CVRP instance and the decoder learns to construct an optimal route based on the reward function designed. According to experiments using randomly generated test instances, the proposed model produces better results than the current deep reinforcement learning (DRL) methods to solve CVRP. To confirm the performance of our model, we also tested using locally generated real-world data parsed from digital maps. The results affirms that our model performs well in both random instance testing and real-world instance testing.",G. Fellek; A. Farid; G. Gebreyesus; S. Fujimura; O. Yoshie,2023,2023 International Conference on Machine Learning and Cybernetics (ICMLC),10.1109/ICMLC58545.2023.10327970,2.0,gate1,
SafeRoute: A Crowdsourced Machine Learning Framework for Safe Urban Navigation Survey Report,"Urban navigation has evolved from focusing solely on efficiency by means of finding the shortest or fastest route, to incorporating multiple objectives that enhance user safety and overall experience. This survey explores the key challenges in designing modern navigation systems that adapt to complex urban settings. The study systematically analyzes 27 key research papers published between 2016 and 2025, aiming to minimize exposure to modern time risks such as crime, traffic accidents, and other safety hazards. Begining was marked with foundational graphbased algorithms that treat safety as a static cost, progresses through predictive machine learning and adaptive reinforcement learning models, and revolutionizes into recent approaches that leveraging real-time, crowdsourced data and user-centric data collections. While significant advancements have been made in data fusion and personalization, persistent challenges related to data reliability, scalability, privacy, and bias still remain to be addressed effectively.",S. Patil; Z. Shaikh; N. Kumbhar; S. Kawathalkar; P. Khokaralkar; T. Kulkarni,2026,2026 International Conference on Sustainable and Futuristic Technologies (ICSFT),10.1109/ICSFT67370.2026.11566628,,gate1,
Solving Capacitated Location-Routing Problems by an Attention-based Method,"The capacitated location-routing problem (CLRP) aims to find the optimal depot location within a set of candidate nodes and subsequently planning efficient vehicle routes from the depot to serve customers or destinations, while considering capacity constraints. As a typical NP-hard problem, existing methods often suffer from low solution efficiency and scalability when addressing the CLRP with combinatorially high-dimensional decision spaces. In this study, we develop a new method that utilizes a trained capacitated vehicle routing problem (CVRP) solver based on an attention model with an encoder-decoder architecture to evaluate the performance of the location solution. Then, a policy gradient method is used to update the model parameters and learn the optimal solution. The overall optimization objective is to minimize the weighted sum of the depot costs and the vehicle routing costs. The feasibility and effectiveness of the proposed method are validated through experiments on multiple problem sizes.",Z. Zhonghao; C. K. M. Lee; Y. Xiaoyuan,2024,"2024 International Conference on Automation in Manufacturing, Transportation and Logistics (ICaMaL)",10.1109/ICaMaL62577.2024.11180875,,gate1,
Monte Carlo Tree Search With Reinforcement Learning for Motion Planning,"Motion planning for an autonomous vehicle is most challenging for scenarios such as large, multi-lane, and unsignalized intersections in the presence of dense traffic. In such situations, the motion planner has to deal with multiple crossing-points to reach an objective in a safe, comfortable, and efficient way. In addition, motion planning challenges include real-time computation and scalability to complex scenes with many objects and different road geometries. In this work, we propose a motion planning system addressing these challenges. We enable real-time applicability of a Monte Carlo Tree Search algorithm with a deep-learning heuristic. We learn a fast evaluation function from accurate, but non real-time models. While using Deep Reinforcement Learning techniques we maintain a clear separation between making predictions and making decisions. We reduce the complexity of the search model and benchmark the proposed agent against multiple methods: rules-based, MCTS, $A^{*}$ search, deep learning, and Model Predictive Control. We show that our agent outperforms these other agents in a variety of challenging scenarios, where we benchmark safety, comfort and efficiency metrics.",P. Weingertner; M. Ho; A. Timofeev; S. Aubert; G. Pita-Gil,2020,2020 IEEE 23rd International Conference on Intelligent Transportation Systems (ITSC),10.1109/ITSC45102.2020.9294697,14.0,gate1,
Learning Eco-Driving for Autonomous Electric Vehicles in Highway Scenario,"Existing eco-driving approaches often sacrifice traffic efficiency or underperform in complex traffic scenarios. This study proposes a novel reinforcement learning (RL)-based decision-making strategy specifically designed for autonomous electric vehicles (EVs) to minimize energy use while maintaining driving performance. The framework integrates vehicle energy models with dynamic traffic simulation, and Proximal Policy Optimization (PPO) algorithms is utilized to optimize acceleration, deceleration, and lane selection simultaneously. Evaluations in dense highway environments demonstrate marked improvements: the proposed strategy achieves a 10.4% reduction in energy consumption without compromising the traffic efficiency compared to the non-energy-aware methods.",Z. Kuang; H. He; Y. Wang; J. Li,2025,2025 IEEE Vehicle Power and Propulsion Conference (VPPC),10.1109/VPPC66000.2025.11392926,,gate1,
Interpretable DRL-Based Maneuver Decision of UCAV Dogfight,"This paper proposes a three-layer unmanned combat aerial vehicle (UCAV) dogfight frame where Deep reinforcement learning (DRL) is responsible for high-level maneuver decision. A four-channel low-level control law is firstly constructed, followed by a library containing eight basic flight maneuvers (BFMs). Double deep Q network (DDQN) is applied for BFM selection in UCAV dogfight, where the opponent strategy during the training process is constructed with DT. Our simulation result shows that, the agent can achieve a win rate of 85.75% against the DT strategy, and positive results when facing various unseen opponents. Based on the proposed frame, interpretability of the DRL-based dogfight is significantly improved. The agent performs yo-yo to adjust its turn rate and gain higher maneuverability. Emergence of ?�Dive and Chase??behavior also indicates the agent can generate a novel tactic that utilizes the drawback of its opponent.",H. Han; J. Cheng; M. Lv,2024,"2024 IEEE International Conference on Systems, Man, and Cybernetics (SMC)",10.1109/SMC54092.2024.10831270,5.0,gate1,
Edge-based Formulation with Graph Attention Network for Practical Vehicle Routing Problem with Time Windows,"Vehicle routing problem with time windows (VRPTW) is an important topic in modern delivery companies. Optimizing the vehicle routes not only reduces the transportation cost but also increases the customers' satisfaction. In literature, there are many studies focusing on symmetric vehicle routing problems. However, due to the transportation network and traffic conditions, the traveling distance and traveling time may be asymmetric in practical scenarios. In this paper, we formulate a practical VRPTW from the perspective of edges. With the edge-based formulation, a novel deep reinforcement learning model based on graph attention network is proposed. Two benchmark sets of practical VRPTW for training and testing are generated from the real-world data. The experimental results on the benchmark sets demonstrate that our method can outperform node-based and other well-known methods.",Y. Zhang; J. Wang; Z. Zhang,2022,2022 International Joint Conference on Neural Networks (IJCNN),10.1109/IJCNN55064.2022.9892537,10.0,gate1,
An Efficient Attribute Attention-based Vehicle Routing Algorithm with Adaptive Training Strategy,"As a highly flexible communication paradigm, Vehicular Ad-hoc Networks (VANETs) are widely employed in both civil and military applications. Existing deep reinforcement learning-based data forwarding algorithms for VANETs suffer from long training time, limited adaptive capability and so on. In order to cope with the above challenges, we propose an Efficient Attribute Attention-based Vehicle Routing Algorithm with Adaptive Training Strategy(A3VRAT). Specifically, we first propose a deep reinforcement learning framework based on designed Vehicle Attribute Attention (VAA) module, to enable rapidly adaptive data forwarding in various vehicular networking scenarios. Secondly, we design an effective deep learning training mechanism utilizing the constructed Multi-priority Dynamic Experience Pool (MDEP), to achieve rapid convergence in wide-area vehicular environments. Finally, we verify the feasibility and effectiveness of the proposed algorithm through a series of experiments.",J. Li; S. Ma; C. Gong; G. Li,2024,2024 IEEE International Conference on High Performance Computing and Communications (HPCC),10.1109/HPCC64274.2024.00156,,gate1,
Research on Intelligent Penetration Technology of High Speed Flight Vehicle Based on PPO Algorithm,"In this paper, a high speed flight vehicle intelligent control method based on the proximal policy optimization (PPO) algorithm is researched. This method can be used to avoid the impact of interceptor employing the pure proportional navigation (PPN) guidance strategy in three dimensions. First, the interception process of the interceptor and the penetration process of the flight vehicle in the actual scenario were analyzed. The flight vehicle kinematic model, the interceptor kinematic model based on the PPN guidance law, and the relative motion model were constructed. Then, a flight vehicle intelligent penetration guidance law training model was built with specific scenarios. PPO-based model structure, state space, action space, reward function and training end conditions were designed. Finally, an intelligent flight vehicle penetration control model is formed through training, and the effectiveness of the proposed penetration method is verified through simulation tests. The method is applied to penetrate other performance interceptors and compared with other maneuvering strategies. The results verify the robustness and significant advantages of the intelligent penetration method. The intelligent penetration method studied in this paper has certain reference value for the flight vehicle guidance law design.",J. Cao; T. Wang; B. Yang,2024,2024 International Conference on Intelligent Robotics and Automatic Control (IRAC),10.1109/IRAC63143.2024.10871523,,gate1,
STDPG: A Spatio-Temporal Deterministic Policy Gradient Agent for Dynamic Routing in SDN,"Dynamic routing in software-defined networking (SDN) can be viewed as a centralized decision-making problem. Most of the existing deep reinforcement learning (DRL) agents can address it, thanks to the deep neural network (DNN) incorporated. However, fully-connected feed-forward neural network (FFNN) is usually adopted, where spatial correlation and temporal variation of traffic flows are ignored. This drawback usually leads to significantly high computational complexity due to large number of training parameters. To overcome this problem, we propose a novel model-free framework for dynamic routing in SDN, which is referred to as spatio-temporal deterministic policy gradient (STDPG) agent. Both the actor and critic networks are based on identical DNN structure, where a combination of convolutional neural network (CNN) and long short-term memory network (LSTM) with temporal attention mechanism, CNN-LSTM-TAM, is devised. By efficiently exploiting spatial and temporal features, CNN-LSTM-TAM helps the STDPG agent learn better from the experience transitions. Furthermore, we employ the prioritized experience replay (PER) method to accelerate the convergence of model training. The experimental results show that STDPG can automatically adapt for current network environment and achieve robust convergence. Compared with a number state-of the-art DRL agents, STDPG achieves better routing solutions in terms of the average end-to-end delay.",J. Chen; Z. Xiao; H. Xing; P. Dai; S. Luo; M. A. Iqbal,2020,ICC 2020 - 2020 IEEE International Conference on Communications (ICC),10.1109/ICC40277.2020.9148789,18.0,gate1,
Rough Terrain Path Tracking of an Ackermann Steered Platform using Hybrid Deep Reinforcement Learning,"Accurate path tracking of wheeled Uncrewed Ground Vehicles (UGVs) in off-road environments faces numerous challenges stemming from the diversity of operational conditions. Traditional model-based controllers for Ackermann-steered vehicles feature good (skid-free) path-tracking performance on flat ground, but performance degrades with increasingly uneven terrain and faster traversal speeds. This paper introduces a novel approach, a Hybrid Deep Reinforcement Learning (HDRL) controller, leveraging the strengths of a Linear Quadratic Regulator (LQR) and a Deep Reinforcement Learning (DRL) controller, for the enhanced path tracking of Ackermann-steered UGVs. The DRL controller primarily compensates for uncertainty in terrain conditions and unknown vehicle parameters but can be computationally expensive to train. The LQR controller guides the DRL controller during the initial training phases, ensuring a more stable performance and achieving higher rewards in early iterations. In doing so, this hybrid methodology offers promise to overcome the limitations of model-based controllers and the sample-inefficient nature of conventional DRL approaches. Preliminary results showcased in the manuscript show promise for the HDRL controller, demonstrating better performance than model-free DRL and conventional feedback controllers.",D. Mehta; A. Salvi; V. Krovi,2024,2024 IEEE International Conference on Advanced Intelligent Mechatronics (AIM),10.1109/AIM55361.2024.10636992,5.0,gate1,
Reinforcement Learning for Predicting Traffic Accidents,"As the demand for autonomous driving increases, it is paramount to ensure safety. Early accident prediction using deep learning methods for driving safety has recently gained much attention. In this task, early accident prediction and a point prediction of where the drivers should look are determined, with the dashcam video as input. We propose to exploit the double actors and regularized critics (DARC) method, for the first time, on this accident forecasting platform. We derive inspiration from DARC since it is currently a state-of-the-art reinforcement learning (RL) model on continuous action space suitable for accident anticipation. Results show that by utilizing DARC, we can make predictions 5% earlier on average while improving in multiple metrics of precision compared to existing methods. The results imply that using our RL-based problem formulation could significantly increase the safety of autonomous driving.",I. Cho; P. K. Rajendran; T. Kim; D. Har,2023,2023 International Conference on Artificial Intelligence in Information and Communication (ICAIIC),10.1109/ICAIIC57133.2023.10067034,5.0,gate1,
Reinforcement Learning Controller Design for Underwater Rescue Vehicle,"This paper presents the design of a depth tracking controller for an Underwater Rescue Vehicle (URV) using Deep Reinforcement Learning (DRL) framework. The objective is to enable the URV to autonomously learn and maintain the desired depth in a dynamic underwater environment. A Deep Deterministic Policy Gradient (DDPG) algorithm is employed to train the control policy, where the agent interacts with the URV model and optimizes its actions based on a mathematically formulated reward function. The reward function evaluates the tracking error, control effort, and stability, thereby guiding the learning process toward optimal performance. The proposed method efficacy is validated through simulations.",A. K. Kondaji; K. P. Bharani Chandra; V. Chellaboina,2025,2025 International Conference on Robotics and Mechatronics (ICRM),10.1109/ICRM66809.2025.11349007,,gate1,
Deep Reinforcement Learning for Overtaking Decision-Making and Planning of Autonomous Vehicles,"The safe overtaking of autonomous vehicles has become an important focus in recent robotics and AI research. Considering the scenario of overtaking with oncoming vehicles, this paper proposes a hierarchical framework based on deep reinforcement learning to interact with the traffic environment and learn to overtake safely and efficiently. At the high level, an optimized actor-critic network with TRPO deep reinforcement learning algorithm is used to make safe overtaking decisions. At the low level, a reliable lane-changing path planning strategy is employed for motion control. A well-designed reward function is introduced to guide the agent in learning efficient overtaking behaviors. The effectiveness of the proposed framework is demonstrated through simulation experiments.",A. Aihaiti; F. Arvin; J. Hu,2025,2025 IEEE International Conference on Industrial Technology (ICIT),10.1109/ICIT63637.2025.10965305,1.0,gate1,
AGV Vehicle Dynamics Optimization in Automated Logistics Warehousing Systems,"An analysis was conducted on the dynamic characteristics and optimization problems of AGV vehicles in the Automated Logistics Warehouse System (ALWS). As the core execution unit of modern warehousing and logistics, AGV system achieves efficient and stable material handling operations through the collaborative optimization of multi-body dynamics modeling, drive control algorithms, and path planning technology. In terms of technical implementation, the AGV dynamic optimization system can be divided into the following core modules: the environment perception module based on inertial measurement unit (IMU) and laser SLAM achieves centimeter level positioning accuracy; The motion control module considering incomplete constraints integrates adaptive PID and model predictive control (MPC) algorithms; Adopt torque optimization strategy for power distribution modules under different load conditions; The virtual debugging module supported by digital twin technology has achieved online calibration of dynamic parameters. By establishing a multi rigid body dynamic model of AGV, this study quantitatively analyzed the influence mechanism of geometric parameters of steering mechanism and tire lateral stiffness on path tracking accuracy. An improved hybrid evaluation model was proposed in the study, which combines entropy weight method to determine the weights of dynamic indicators and introduces time series analysis to quantify the stability of AGV motion. Test data shows that the optimized AGV system reduces trajectory deviation error to within ± 10mm at a running speed of 1.5m/s, and the impact of emergency stop conditions decreases by 37%. Although dynamic optimization has increased the average operational efficiency of AGVs by 28%, there is still a 12% control delay phenomenon in high dynamic storage environments. The nonlinear characteristics of transmission systems and the coupling effect of distributed drives are currently the main technical bottlenecks. Our future research should focus on breaking through adaptive control strategies based on deep reinforcement learning. This study verifies the key role of dynamic optimization in extending the service life of AGVs - by reducing mechanical vibration losses, the service life of key components can be increased by about 30%, providing a new technological path for AGV lifecycle cost control.",F. Hong; J. Ye; Z. Liu; J. Deng; Y. Xu; Y. Zheng,2025,"2025 11th International Symposium on Sensors, Mechatronics and Automation System (ISSMAS)",10.1109/ISSMAS65783.2025.11102937,,gate1,
Solving Multi-objective Optimization Problems Via Selective Inheritance Meta-Reinforcement Learning,"An increasing number of machine learning algorithms are being applied to multi-objective optimization problems (MOPs), yielding promising results. However, many of these algorithms suffer from inefficient and low-quality task sampling methods, which degrade the quality of the Pareto Front (PF) calculated by the meta-model after several iterations. Our proposed algorithm integrates meta-learning techniques into the deep reinforcement learning (DRL) framework. To generate a high-quality and stable training dataset, we incorporate the concept of optimal genetic inheritance into the training process of the meta-model. The process involves: (1) saving the training data in a specified data structure; (2) selecting high-performance data based on loss values and storing them in a structure indexed by iteration number; (3) updating the data structure with each iteration; and (4) generating the training dataset based on iteration counts. Our algorithm demonstrates higher stability and better performance in computational experiments, effectively addressing multi-objective traveling salesman problems (MOTSP) and multi-objective vehicle routing problems with time windows (MOVRPTW).",M. Wang; F. Ge; D. Chen; L. Shen; H. Liu,2024,"2024 4th International Conference on Robotics, Automation and Intelligent Control (ICRAIC)",10.1109/ICRAIC65937.2024.00108,,gate1,
Real-Time Emergency Vehicle Detection and Response in AVS,"Autonomous vehicles changing urban traffic raises challenges for guaranteeing their and EVs??safety and smooth operations in urgent situations. The SmartAV-RescueSense system is presented here as a multi-sensor and artificial intelligence framework made to help AVs notice and answer to emergency vehicles right away. With the help of its new fusion engine, the system combines microphone signals from different directions and all-around cameras to properly sense sirens and emergency signs, regardless of whether it?�s noisy or hard to see. Because of the module, emergency signals are quickly recognized and the system functions well without the need for online storage or processing. Besides, the platform uses the Vehicle-to-Everything (V2X) protocol to obtain live warnings from equipped emergency vehicles, allowing AVs to act safely and efficiently. Thanks to its reinforcement learning structure, the dynamic path model directs AVs to give way or change their route in the best way given the situation and the urban environment. The approach also makes use of mapped priority regions over time to anticipate the route of an emergency vehicle in a busy city grid. Simulations of many different emergencies at the same time confirm that the system works well and responds promptly. It shows that this method represents considerable advantages in accuracy, time for response, and safety over older technologies. thanks to this research, urban traffic safety is increasing and these cars can live side by side smoothly. Those trying to improve these systems will increasingly focus on significant, real-life experiments and fitting them into city infrastructure.",A. Pandey; Jansirani.D; G. A. R. Kizi; M. Fallahhusein; D. Bhanu; B. Sujatha; M. G. Saydumarov; R. Naveen,2025,2025 International Conference on Intelligent Systems and Pioneering Innovations in Robotics and Electric Mobility (INSPIRE),10.1109/INSPIRE67328.2025.11300570,,gate1,
Q-Learning-Based Dynamic Traffic Routing Optimization for Adaptive Path Selection in Complex Networks,"With the continuous expansion of network scale and the increasing dynamics of traffic patterns, traditional static or rule-based routing strategies are showing performance limitations in handling complex link states and bursty traffic. To address the challenges of real-time path selection and traffic scheduling in dynamic network environments, this paper proposes a Q-Learning-based dynamic routing optimization method. The proposed approach constructs a state representation mechanism incorporating link load, path delay, and topological structure, and introduces a multi-objective reward function to guide the policy learning process, enabling the agent to adaptively select routing paths under varying conditions. A series of experiments were conducted on the Mininet platform, comparing the proposed method with classical strategies such as Dijkstra, ECMP, and Random routing. Experimental results demonstrate that the proposed method achieves significant improvements in average delay, link utilization, and congestion control. It shows strong robustness and scalability, especially in medium- to large-scale networks and under bursty traffic scenarios. The study further indicates that the Q-Learning model can achieve efficient policy learning and optimization without relying on global network knowledge. This work provides a practical solution for intelligent routing and lays a theoretical and experimental foundation for the development of adaptive, high-performance network control systems.",J. Wang; Z. Huang,2025,2025 8th International Conference on Computer Information Science and Application Technology (CISAT),10.1109/CISAT66811.2025.11181863,,gate1,
Emergence of Cooperative Automated Driving Control at Roundabouts Using Deep Reinforcement Learning,"This study proposes a deep reinforcement learning mechanism to obtain cooperative driving control of autonomous vehicles at a roundabout, one of the intersections without signal control. This study introduces three new mechanisms to the previous model that enable learning the cooperative control: (i) gradual learning by changing the new vehicle departure interval, (ii) utilization of information about the vehicle?�s destination, and (iii) additional penalty for approaching walls and other vehicles. We conducted simulation experiments to investigate the effectiveness of the proposed methods. The experimental results showed that the proposed methods enable the acquisition of cooperative vehicle control that can safely navigate a roundabout while reducing the collision rate.",R. Nakaya; T. Harada; Y. Miura; K. Hattori; J. Matsuoka,2023,2023 62nd Annual Conference of the Society of Instrument and Control Engineers (SICE),10.23919/SICE59929.2023.10354212,6.0,gate1,
Reinforcement Learning for Autonomous Control of Articulated Vehicles in Roundabout Intersections,"Trailer-tractor vehicles are the backbone of logistical operations, delivering goods to their destination. Despite their importance, publicly available research in mechanisms for making such vehicles autonomous is sparse. Furthermore, navigating through roundabouts is one of the most challenging aspects of driving such vehicles, due to the necessary lane changes, trajectories and tight curvatures, together with dynamic aspects such as coordinating with other traffic. In this work, we propose a reinforcement learning based framework to train a tractor-trailer vehicle to navigate through roundabout intersections. We provide the first tractor-trailer vehicle model for the high-fidelity CAR Learning to Act (CARLA) simulator together with the first dataset of roundabout scenarios. A model was trained using the Proximal Policy Optimisation algorithm, obtaining a testing success rate of 77% while maintaining minimal lateral deviation, mimicking human-like behaviour.",D. Attard; J. Bajada,2024,"2024 10th International Conference on Control, Decision and Information Technologies (CoDIT)",10.1109/CoDIT62066.2024.10708223,2.0,gate1,
Circular Arc Based Path Smoothing for Precise Forklift Navigation and Orientation Alignment,"Autonomous forklifts in warehousing operations require precise path planning, especially for pallet handling tasks where the orientation of the final vehicle must be aligned with the pallet position. This paper presents an enhanced path planning approach that addresses both kinematic constraints and orientation requirements through a three-stage solution. First, a Deep Q-Network (DQN) algorithm generates a global optimal path in a complex warehousing environment, ensuring optimal route from start to goal position. Second, an circular arc-based smoothing technique is applied to corners to ensure a continuous curvature path that satisfies the forklift turning radius. Finally, a novel 4-arc-based method is introduced to specifically handle the initial and final orientation constraints, ensuring precise maneuvers alignment with both pickup and placement orientations. This comprehensive approach enables smooth transitions throughout the entire path while guaranteeing precise orientation during forklift operations, effectively bridging the gap between theoretical path planning and practical warehousing automation requirements.",H. Ardi; P. H. Rusmin; M. G. Abrari,2025,"2025 International Conference on Computer Sciences, Engineering, and Technology Innovation (ICoCSETI)",10.1109/ICoCSETI63724.2025.11019470,1.0,gate1,
Research on Intelligent Algorithms for Path Planning of Driverless Vehicles and their Applications,"Driverless technology is a crucial part of future intelligent transportation systems, and path planning is a core technology in driverless systems. This research aims to optimize existing path - planning algorithms and explore new ones. By collecting the latitude and longitude information of Chinese cities from public resources such as Baidu Maps, and after data cleaning, an inter - city distance dataset containing 1,048,574 records was constructed. The research compared the greedy algorithm, dynamic programming, and their derivative algorithms, and selected the Euclidean distance to calculate the distance between points. The results show that there are significant differences in the performance of different algorithms. The Greedy Kruskal algorithm performs relatively well among the greedy algorithm family, and the combination of dynamic programming and the Bellman - Ford algorithm stands out. Based on this, a two - stage intelligent optimization algorithm for driverless vehicles was designed. The first stage uses the Bellman - Ford algorithm for preliminary path planning, and the second stage optimizes the path with the Kruskal algorithm. This algorithm combines the advantages of different algorithms, providing a more effective solution for path planning of driverless vehicles, and is of great significance for promoting the development of autonomous driving technology and constructing intelligent transportation systems.",L. Huang; N. Lv,2025,2025 5th International Conference on Consumer Electronics and Computer Engineering (ICCECE),10.1109/ICCECE65250.2025.10985327,1.0,gate1,
Data-driven Deep Reinforcement Learning for Automated Driving,"Path-tracking control is an integral part of motion planning in autonomous vehicles, where a control system on the vehicle will provide acceleration and steering angle commands to ensure accurate tracking of its longitudinal and lateral movements in reference to a pre-defined trajectory. In this paper, a scenario and machine learning-based data-driven control approach is proposed for a path-tracking controller. Firstly, a deep reinforcement learning (DRL) model is developed to facilitate the control of the vehicle's longitudinal speed. A deep deterministic policy gradient algorithm is employed to train the reinforcement learning model. The main objective of this model is to maintain a safe distance from a lead vehicle (if present) or track a velocity set by the driver. Secondly, a lateral steering controller is developed to control the steering angle of the vehicle with the main goal of following a reference trajectory. Finally, the longitudinal and lateral control models are coupled to obtain a complete path-tracking controller at a wide range of vehicle speeds. The state-of-the-art model-based path-tracking controller is also built (using the model predictive control and Stanley control) to evaluate the performance of the proposed model. The results showed that the performance of the proposed data-driven DRL control model is effective compared with model-based control approaches (in terms of the velocity error, lateral yaw angle error, and lateral distance error).",A. Prabu; L. Li; Y. Chen; B. King,2023,2023 IEEE 26th International Conference on Intelligent Transportation Systems (ITSC),10.1109/ITSC57777.2023.10422194,2.0,gate1,
Security-Aware Routing Optimization in TSNs via GCN-based Deep Reinforcement Learning,"Driven by Industry 4.0 advancements, industrial networks face heightened demands for communication determinism and security. Time-Sensitive Networking (TSN), with its low-latency and highly reliable transmission capabilities, has emerged as a core enabling technology for next-generation industrial systems. However, traditional routing protocols fail to guarantee real-time scheduling performance, and encryption delays introduced by TSN security mechanisms may violate transmission deadlines. To address these challenges, this paper proposes a security-aware routing optimization framework integrating Graph Convolutional Networks (GCNs) and Deep Reinforcement Learning (DRL). Our approach employs a flow-priority-driven encryption strategy to dynamically assign differentiated encryption strengths to High Time-Sensitive (HTS) and Audio-Video Bridging (AVB) flows, while the GCN-DRL model jointly learns topological features and dynamic routing policies under latency constraints to achieve secure and controllable end-to-end latency minimization. Experimental results demonstrate 38.6% higher scheduling success rates and 19.3%/12.7% reductions in HTS/AVB flow delays within multi-priority mixed-traffic scenarios, effectively synergizing real-time performance with security enforcement.",Y. Cui; R. Tang; J. He; X. He; Q. Zhang; C. Yin,2025,2025 IEEE/CIC International Conference on Communications in China (ICCC Workshops),10.1109/ICCCWorkshops67136.2025.11148161,1.0,gate1,
Multi-Head PPO-Based Path Planning for AUV Data Collection under Dynamic Ocean Currents,"This paper proposes a reinforcement learningbased path planning framework for autonomous underwater vehicle (AUV) data collection in dynamic ocean currents, simultaneously considering propulsion and communication energy, buffer capacity, and Age of Information (AoI). By employing a multi-head PPO network, the method jointly learns node selection and velocity control. Simulation results indicate that the proposed approach outperforms the greedy baseline in energy efficiency and mission success rate, with approximately $\mathbf{1 2 \%}$ higher offloading efficiency and 11% lower AoI.",M. Kim; S. Seol; S. Lee; Y. Kim; J. Chung,2026,"2026 International Conference on Electronics, Information, and Communication (ICEIC)",10.1109/ICEIC69189.2026.11385932,,gate1,
A Deep Reinforcement Learning Algorithm for Warehousing Multi-AGV Path Planning,"The problem of AGV path planning has become a key technical problem in the fields of cargo transportation and rapid sorting. Due to the continuous expansion of the scale of application scenarios, more AGV cooperation is required. Traditional planning models are difficult to coordinate path planning between multiple AGVs. Aiming at the warehouse layout scenario of the Kiva system, the article proposes an A3C algorithm combined with the Attention mechanism of the MAA3C algorithm. The advantage function and entropy are used for training to better solve the path planning problem of the unequal number of picking shelves in the storage multi-pick station, MAAC (Uniform), MADDPG, MADDPG+SAC, and COMA+SAC algorithms for comparison. The simulation results show that the MAA3C algorithm has a better convergence effect than other algorithms, the convergence time is 1/3 of other algorithms, and the average reward is increased by about 25%. Therefore, this algorithm can effectively solve the optimization problem of picking path planning under the ""goods to people"" mode, and improve the collaboration and scalability of multiple AGVs in the warehouse.",G. Shen; R. Ma; Z. Tang; L. Chang,2021,"2021 International Conference on Networking, Communications and Information Technology (NetCIT)",10.1109/NetCIT54147.2021.00090,14.0,gate1,
