idx,title,OD_conditioned,OD_quote,generalization_mechanism,gen_quote,predictive_representation,pred_quote,reward_temporality,rt_quote,reward_alignment,align_quote,compliance_stated,comp_quote,action_feasibility_constraint,actfeas_quote,algorithm_family,source
78,Resilient Multi-Agent Deep Reinforcement Learning for Routing Control via Traffic Cost Fields,unclear,"make periodic intersection-level next-hop decisions from masked local observations, enabling decentralized execution at scale",unclear,A shared-parameter multi-agent actor-critic policy is trained with Proximal Policy Optimization (PPO),unclear,maintain factorized edge-wise signals as an interpretable interface between traffic states and routing decisions,unclear,Experiments on an abstracted road graph extracted from Shenzhen show improved average and tail travel-time performance,system,individually optimal routing can degrade system-level efficiency under mixed compliance,explicit,individually optimal routing can degrade system-level efficiency under mixed compliance,unclear,make periodic intersection-level next-hop decisions from masked local observations,multi-agent actor-critic with PPO (MARL),abstract-only
79,Dynamic Route Optimization using D* Lite and DQN Algorithm,yes,"Input: Graph G(V, E), Start node sstart, Goal node sgoal",none,"Future scopes includes scaling the model to larger city networks, introduce multi-agent coordination of vehicles distributed",none,the DQN agent learns locality decisions based on traffic aware congestion from past data,realized,"Execute at, observe reward rt and next state st+1",individual,minimizing travel cost and travel delay,implicit-100%,Follow D* Lite's planned segment to si+1,unclear,the street network is represented in the form of a weighted graph and reads synthetic traffic data via JSON inputs,Hybrid D* Lite + DQN,full-text
80,Reinforcement Learning for Dynamic Traffic Management: A Scalable Approach to Congestion Reduction,yes,the system intelligently reroutes origin-destination (OD) vehicles to mitigate congestion near the event area while allowing partial access when necessary,unclear,highlighting its potential as a scalable and adaptive solution for congestion mitigation in dynamic urban settings,unclear,"the agent learns adaptive movement strategies that balance shortest-path efficiency with congestion avoidance, effectively reducing bottlenecks in real time",unclear,Experimental results demonstrate that our RL-driven traffic management strategy significantly improves traffic flow efficiency,mixed,"the agent learns adaptive movement strategies that balance shortest-path efficiency with congestion avoidance, effectively reducing bottlenecks in real time",unclear,the system intelligently reroutes origin-destination (OD) vehicles to mitigate congestion near the event area while allowing partial access when necessary,enforced,mitigate congestion near the event area while allowing partial access when necessary,RL (specific algorithm unspecified),abstract-only
81,A Communication Resource Enhanced Intelligent Road Traffic Routing Scheme,unclear,existing route planing schemes ignore the limitations of communication bandwidth and the same planing strategy are provided for all vehicles,unclear,Considering the spatial and temporal correlation of the traffic network and the multi-agent features,unclear,we propose a maximum traffic density model for safe driving in a road segment based on the Preceding-Reaction time (PRT),unclear,Simulation results demonstrate that the proposed model can reduce system congestion effectively and improve transportation efficiency,system,the proposed model can reduce system congestion effectively and improve transportation efficiency,unclear,provides secure and efficient route planning services for traffic network,enforced,we propose a maximum traffic density model for safe driving in a road segment based on the Preceding-Reaction time (PRT),MADDPG (Multi-Agent Deep Deterministic Policy Gradient),abstract-only
82,Work-in-Progress: Leveraging the Selfless Driving Model to Reduce Vehicular Network Congestion,no,the start and destination points are fixed within the given map,none,randomly-generated start and destination points are necessary for realistic emulation of traffic routing use cases,none,State refers to a vector that contains information such as the vehicles' location and the congestion ratio (CR) of each edge,step-wise,the reward becomes a −1 penalty for each second the vehicle spent since the last decision,mixed,"we propose a 'selfless' model that minimizes the average travel time of vehicles, while preserving individual vehicle travel deadlines",implicit-100%,The target vehicle will strictly follow the instructions given by the agent to travel in the system,not-enforced,"If the action is invalid, a negative reward, which is a penalty, is given",DQN (deep Q-learning),full-text
83,A Deep Q Learning-Model Predictive Control Approach to vehicle routing and control with platoon constraints,unclear,the capability to deal with the actual traffic congestion while driving the autonomous vehicle to its destination,unclear,"Some simulations on a platoon, consisting of three agents described by double-integrator models, are provided",unclear,the high-level routing decisions are translated into manipulable set-points for Receding Horizon controllers,unclear,making more computational affordable and efficient the control action on the vehicle dynamics,unclear,we deal with the control of platoon of autonomous vehicles driving in Urban Road Networks (URNs),unclear,high-level routing decisions are translated into manipulable set-points for Receding Horizon controllers,enforced,Feasibility and asymptotic closed-loop stability are formally proved,DQN + Model Predictive Control (hybrid),abstract-only
84,A Dynamic Risk-aware Routing Recommendation Using Deep Reinforcement Learning,no,"IMADQN first establishes two separate neural networks (Q-real and Q-estimated) for each agent, with the input being the state corresponding to the agent",none,"all agents share the same experience replay buffer, and then every once in a while, a certain number of experience tuples are randomly sampled",none,The state of an agent can be defined by the point on the grid at a certain moment.,realized,r2i represents the reward based on the change in relative distance between the current position and the destination before and after the action,individual,"Ri is the reward obtained by a single agent after taking a single action, and each Ri consists of three parts",implicit-100%,"At each time step, each agent executes the action with the highest Q-value in the environment according to the neural network",action-masking,"the agent's action is also influenced by its location, as agents located in the corners will have fewer available action directions",MARL (independent multi-agent DQN / IMADQN),full-text
85,Path planning for vehicle platoons under routing decisions: a distributed approach combining Deep Reinforcement Learning and Model Predictive Control,unclear,"the team is driven to the prescribed target position xf, regardless any junction occurrence",none,"The environment is the URN which is traduced into a graph, see figure 3. The graph is translated into a tree with the initial location",none,"S is the set state of the agents, specifically the driving routes of each vehicle",realized,"where sk is the state of the agents at the step k, Nr is the number of road segments, xy k is the number of vehicles",mixed,The aim of the first term is to alleviate traffic congestion. It is the gradient of traffic density over the overall URN,implicit-100%,the high-level routing decisions arising from the distributed deep reinforcement learning operations are translated into manipulable set-points for the underlying bank of receding horizon controllers,enforced,"the PI regions must take of safe distances amongst the vehicles, therefore they have to be derived a level-by-level procedure",Q-learning (DRL) + distributed Model Predictive Control (RHC),full-text
86,A Joint Design of Path Planning and Lane Reservation for Emergency Service in ITS,unclear,The path planning module strategically plans the path with the shortest response time for the EV.,unclear,"we design a distributed intelligent transportation system (DITS) powered by vehicular fog computing (VFC), which offers new possibilities for designing traffic scheduling methods",unclear,The collaborative lane reservation module uses the latest traffic data to create a traffic dispatch strategy to reserve empty lane,unclear,we propose a soft actor-critic-based algorithm as the real-time path planning module,individual,propose a soft actor-critic-based EV rapid passage approach (SACRP) to minimize the response time of EVs,unclear,"The path planning module integrates vital road information, such as lane reservation priority, real-time road data, EV location, and traffic signal information",unclear,"The path planning module integrates vital road information, such as lane reservation priority, real-time road data, EV location, and traffic signal information",Soft Actor-Critic (SAC),abstract-only
87,A Reinforcement Learning-Based Path Recommendation Strategy Considering Broadcast Disturbance and Behavioral Response,unclear,"a Proximal Policy Optimization (PPO)-based reinforcement learning framework is designed, where multiple candidate paths together with the option of retaining the current path are jointly considered",unclear,"For the first time, this paper incorporates broadcast disturbances and behavioral response mechanisms as external control signals into the path recommendation framework",local-prediction,additional delay estimation is integrated to construct an expected travel time representation,predicted,additional delay estimation is integrated to construct an expected travel time representation,individual,"jointly considered in the action space, enabling dynamic path recommendations that balance efficiency and risk",partial-modeled,"Traditional approaches often assume that broadcast instructions can be fully received and strictly executed, overlooking the uncertainties introduced by broadcast reception failure",action-masking,multiple candidate paths together with the option of retaining the current path are jointly considered in the action space,Proximal Policy Optimization (PPO),abstract-only
88,Personalized and Context-aware Route Planning for Edge-assisted Vehicles,yes,"The framework is designed to receive routing requests from vehicles in the form of a tuple <source, destination>, aiming to identify routes that connect them",graph-inductive,"we leverage the GIN-E architecture, a variant of GNN that facilitates the information exchange between the graph vertices, encompassing both node and edge features",local-prediction,"Future road usage, number of vehicles that are expected to travel on the road eij",predicted,"the actual time Ta, instead, is calculated based on the current average speed along the route, which includes the current traffic conditions",mixed,the time taken to reach the destination; and (iii) the global traffic flow to ensure smooth vehicular mobility in the considered area,explicit,The suggested route is re-planned if any of the three following conditions are satisfied: (i) Driver deviates from the suggested route,action-masking,we limit the action space A to a set of K candidate routes,GNN (GIN-E) + DQN,full-text
89,Research on Travel Paths Based on Car-Hailing Services Connecting with Rail Transit,unclear,"extracting origin-destination (OD) pairs, and constructing road network information, the study determines the attraction areas of rail transit stations",unclear,"Based on the relatively stable scheduling of subway trains and the distribution patterns of car-hailing services, this study proposes a combination",unclear,An improved Sarsa algorithm is employed to search for optimal travel paths based on the principle of connection travel,unclear,"An improved Sarsa algorithm is employed to search for optimal travel paths based on the principle of connection travel, providing passengers with better travel decision-making",individual,"search for optimal travel paths based on the principle of connection travel, providing passengers with better travel decision-making",unclear,"Compared to the Q-learning algorithm, the Sarsa algorithm demonstrates a 35% improvement in convergence speed, an 11% reduction in optimal path length",unclear,an improved Sarsa algorithm is employed to search for optimal travel paths based on the principle of connection travel,Sarsa (compared with Q-learning),abstract-only
90,Q-Learning-Based Energy-Aware Route Planning for Electric Vehicles on Real Road Networks with Charging Constraints,yes,"Each state is represented by a 16-dimensional vector that includes distance to the destination, battery level, number of neighbors, nearby charging stations",none,"The environment is modeled as graph structures obtained from Berlin, Istanbul, and Ankara cities using OpenStreetMap data",none,"Each state is represented by a 16-dimensional vector that includes distance to the destination, battery level, number of neighbors, nearby charging stations, and final reward",realized,"The reward function is a multi-component structure that incentivizes approaching the destination, penalizes unnecessary loops and backtracking, and rewards smart charging decisions",individual,Q-learning and hierarchical Q-learning (HRL) based agents trained to generate energy-aware routes on real road networks,unclear,we propose Q-learning and hierarchical Q-learning (HRL) based agents trained to generate energy-aware routes on real road networks,not-enforced,Both approaches deviate from the shortest path only when necessary due to energy constraints and their performance is evaluated by metrics such as total reward,Q-learning / Hierarchical Q-learning (HRL),abstract-only
91,Cutting-Edge Travel Planner: Intelligent Route Recommendation System using Enhanced Learning Scheme with AI Principles,unclear,reinforcement learning is utilized to optimize route recommendations in real-time by defining the problem as a Markov Decision Process (MDP) and training an agent,other,This involves constructing a user-item matrix and applying matrix factorization to learn latent representations for users and routes,unclear,Collaborative filtering techniques are employed to analyze user interactions and discern patterns within historical route data,unclear,training an agent to learn an optimal route selection policy. The model balances exploration and exploitation to adaptively recommend routes,individual,aims to provide personalized and contextually relevant route recommendations tailored to individual user preferences and dynamic environmental conditions,unclear,The model balances exploration and exploitation to adaptively recommend routes that optimize user satisfaction and navigation efficiency,unclear,training an agent to learn an optimal route selection policy,"RL (MDP-based, algorithm unspecified) + Collaborative Filtering",abstract-only
92,Multi-Objective Route Optimization via Dueling DQN for Teleoperated Driving,unclear,"This paper presents a new approach to route optimization for teleoperated driving systems, addressing the multi-objective challenge of simultaneously minimizing travel distance",unclear,We model a real-world urban environment as a graph with stochastic network parameters and employ a Dueling Deep Q-Network (Dueling DQN) architecture,unclear,We model a real-world urban environment as a graph with stochastic network parameters,unclear,"chosen for its ability to decouple state value and action advantage estimation, making it effective for routing problems requiring evaluation of both position quality",individual,"addressing the multi-objective challenge of simultaneously minimizing travel distance, network latency, and maximizing available bandwidth",unclear,unclear -- abstract does not mention driver/vehicle compliance with recommended routes,unclear,unclear -- abstract does not mention feasibility constraints on action selection,Dueling DQN,abstract-only
