title,year,venue,doi,decision
Research on geomagnetic sensing navigation method based on deep reinforcement learning + simulated annealing,2024,2024 10th International Conference on Mechanical and Electronics Engineering (ICMEE),10.1109/ICMEE63700.2024.11025363,exclude
Rough Terrain Path Tracking of an Ackermann Steered Platform using Hybrid Deep Reinforcement Learning,2024,2024 IEEE International Conference on Advanced Intelligent Mechatronics (AIM),10.1109/AIM55361.2024.10636992,exclude
Routing with Pickup and Delivery via Deep Reinforcement Learning,2024,2024 32nd Signal Processing and Communications Applications Conference (SIU),10.1109/SIU61531.2024.10600947,exclude
SDN-based Network Traffic Classification using Deep Reinforcement Learning,2024,GLOBECOM 2024 - 2024 IEEE Global Communications Conference,10.1109/GLOBECOM52923.2024.10901070,exclude
SEGAC: Sample Efficient Generalized Actor Critic for the Stochastic On-Time Arrival Problem,2024,IEEE Transactions on Intelligent Transportation Systems,10.1109/TITS.2024.3361445,include
Safe Autonomous Driving via Deep Reinforcement Learning and Model Predictive Control,2024,2024 4th International Conference on Control Theory and Applications (ICoCTA),10.1109/ICoCTA64736.2024.00014,exclude
Safe Efficient Policy Optimization Algorithm for Unsignalized Intersection Navigation,2024,IEEE/CAA Journal of Automatica Sinica,10.1109/JAS.2024.124287,exclude
Safe Reinforcement Learning for Automated Vehicles via Online Reachability Analysis,2024,IEEE Transactions on Intelligent Vehicles,10.1109/TIV.2023.3344226,exclude
Safe Reinforcement Learning with Risk Probability Prediction for Autonomous Vehicle Platooning,2024,2024 43rd Chinese Control Conference (CCC),10.23919/CCC63176.2024.10662210,exclude
Safety-Aware Path Planning for Post-Disaster Rescue Vehicles,2024,"2024 4th International Conference on Artificial Intelligence, Virtual Reality and Visualization",10.1109/AIVRV63595.2024.10859634,include
Scalable Learning for Multiagent Route Planning: Adapting to Diverse Task Scales,2024,IEEE Transactions on Artificial Intelligence,10.1109/TAI.2024.3402193,exclude
Scalable-MADDPG-Based Cooperative Target Invasion for a Multi-USV System,2024,IEEE Transactions on Neural Networks and Learning Systems,10.1109/TNNLS.2023.3309689,exclude
Self-Driving Car Simulation Using Reinforcement Learning for Driving on Roads with Potholes,2024,2024 16th International Conference on Knowledge and Smart Technology (KST),10.1109/KST61284.2024.10499666,borderline
Self-Organized Routing for Autonomous Vehicles via Deep Reinforcement Learning,2024,IEEE Transactions on Vehicular Technology,10.1109/TVT.2023.3311198,include
Self-Tuning PID Controller for an Arm-Angle Adjustable Quadrotor Using an Actor-Critic-Based Neural Network,2024,2024 19th Iranian Conference on Intelligent Systems (ICIS),10.1109/ICIS64839.2024.10887514,exclude
Self-play Decision-making Method of Deep Reinforcement Learning Guided by Behavior Tree under Complex Environment,2024,2024 43rd Chinese Control Conference (CCC),10.23919/CCC63176.2024.10662399,exclude
SigmaRL: A Sample-Efficient and Generalizable Multi-Agent Reinforcement Learning Framework for Motion Planning,2024,2024 IEEE 27th International Conference on Intelligent Transportation Systems (ITSC),10.1109/ITSC58415.2024.10919918,exclude
Single Agent Formulation for Reinforcement Learning Based Routing of Urban Last Mile Logistics with Platooning Vehicles,2024,2024 IEEE 27th International Conference on Intelligent Transportation Systems (ITSC),10.1109/ITSC58415.2024.10920018,exclude
Solving Capacitated Location-Routing Problems by an Attention-based Method,2024,"2024 International Conference on Automation in Manufacturing, Transportation and Logistics (ICaMaL)",10.1109/ICaMaL62577.2024.11180875,exclude
Solving Multi-Objective Vehicle Routing Problems with Time Windows: A Decomposition-Based Multiform Optimization Approach,2024,Tsinghua Science and Technology,10.26599/TST.2023.9010048,exclude
Solving Multi-objective Optimization Problems Via Selective Inheritance Meta-Reinforcement Learning,2024,"2024 4th International Conference on Robotics, Automation and Intelligent Control (ICRAIC)",10.1109/ICRAIC65937.2024.00108,exclude
TEMP: Cost-Aware Two-Stage Energy Management for Electrical Vehicles Empowered by Blockchain,2024,IEEE Internet of Things Journal,10.1109/JIOT.2024.3445601,exclude
The Digital Twin in Vehicular Network: A Key to the Future of IoV ?,2024,2024 13th IFIP/IEEE International Conference on Performance Evaluation and Modeling in Wired and Wireless Networks (PEMWN),10.23919/PEMWN62766.2024.10737568,exclude
Towards Developing a Framework for Autonomous Electric Vehicles Using CARLA: A Validation Using the Deep Deterministic Policy Gradient Algorithm,2024,2024 32nd Mediterranean Conference on Control and Automation (MED),10.1109/MED61351.2024.10566221,exclude
Traffic Congestion Management Using Deep Reinforcement Learning and Decentralized Routing,2024,2024 International Conference on Emerging Techniques in Computational Intelligence (ICETCI),10.1109/ICETCI62771.2024.10704100,exclude
Traffic Engineering in Large-scale Networks via Multi-Agent Deep Reinforcement Learning with Joint-Training,2024,2024 33rd International Conference on Computer Communications and Networks (ICCCN),10.1109/ICCCN61486.2024.10637556,exclude
Transformer-Enabled DRL Routing for DCNs with Sequential Flow Features,2024,ICC 2024 - IEEE International Conference on Communications,10.1109/ICC51166.2024.10622301,exclude
Transforming Traditional Cuisine with AI: Innovations in Hot Pot Temperature Control Through Image Recognition,2024,"2024 IEEE 6th International Conference on Power, Intelligent Computing and Systems (ICPICS)",10.1109/ICPICS62053.2024.10797145,exclude
Two- Echelon Vehicle Routing Problem with Trucks and Drones,2024,2024 Twelfth International Conference on Advanced Cloud and Big Data (CBD),10.1109/CBD65573.2024.00059,exclude
Underwater Federated Learning: Empowering Autonomous Underwater Vehicle Swarm with Online Learning Capabilities,2024,GLOBECOM 2024 - 2024 IEEE Global Communications Conference,10.1109/GLOBECOM52923.2024.10901229,exclude
Variable Neighborhood Search Based on Reinforcement Learning for Green Vehicle Routing Problem,2024,2024 International Conference on Artificial Intelligence in Information and Communication (ICAIIC),10.1109/ICAIIC60209.2024.10463347,exclude
iMTSP: Solving Min-Max Multiple Traveling Salesman Problem with Imperative Learning,2024,2024 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),10.1109/IROS58592.2024.10802039,exclude
3D Trajectory and Spectrum Optimization for Advanced Air Mobility: A Multi-agent Deep Reinforcement Learning Approach,2025,GLOBECOM 2025 - 2025 IEEE Global Communications Conference,10.1109/GLOBECOM59602.2025.11432012,exclude
A CNN-Transformer Model for Learning Electric Vehicle Routing Problem,2025,2025 44th Chinese Control Conference (CCC),10.23919/CCC64809.2025.11178435,exclude
A Champion-Level Vision-Based Reinforcement Learning Agent for Competitive Racing in Gran Turismo 7,2025,IEEE Robotics and Automation Letters,10.1109/LRA.2025.3560873,exclude
A Collaborative Neurodynamic Algorithm for Quadratic Unconstrained Binary Optimization,2025,IEEE Transactions on Emerging Topics in Computational Intelligence,10.1109/TETCI.2024.3405370,exclude
A Composite Observer-Based Optimal Attitude Tracking Control for FWEPAUV via Reinforcement Learning,2025,IEEE Transactions on Vehicular Technology,10.1109/TVT.2025.3538879,exclude
A Comprehensive Survey on the Causes and Challenges of Network Traffic Congestion in Modern Networks,2025,2025 International Conference on NexGen Networks and Cybernetics (IC2NC),10.1109/IC2NC67409.2025.11376229,exclude
A Conditional Privacy-Preserving Protocol for Cross-Domain Communications in VANET,2025,IEEE Transactions on Intelligent Transportation Systems,10.1109/TITS.2025.3527409,exclude
"A Conflicts-Free, Speed-Lossless KAN-Based Reinforcement Learning Decision System for Interactive Driving in Roundabouts",2025,IEEE Transactions on Intelligent Transportation Systems,10.1109/TITS.2025.3578279,exclude
A Cost-Aware Adaptive Bike Repositioning Agent Using Deep Reinforcement Learning,2025,IEEE Transactions on Intelligent Transportation Systems,10.1109/TITS.2025.3535915,exclude
A DRL Solver for the CVRP Based on CLFA-Net and Surrogate-Gradient Optimization,2025,2025 China Automation Congress (CAC),10.1109/CAC67268.2025.11487578,exclude
A Deep Q-Network (DQN) Framework for Joint Optimization of EV Charging Station Placement and Vehicle Routing,2025,2025 IEEE International Smart Cities Conference (ISC2),10.1109/ISC266238.2025.11293297,exclude
A Deep Reinforcement Learning Based Optimization Scheme for Three-dimensional Lumber Crating,2025,2025 8th World Conference on Computing and Communication Technologies (WCCCT),10.1109/WCCCT65447.2025.11027952,exclude
A Deep Reinforcement Learning Framework for Real-Time Vehicle Routing with Dynamic Traffic Conditions,2025,2025 IEEE International Conference on Recent Advances in Systems Science and Engineering (RASSE),,include
A Deep Reinforcement Learning-Based Adaptive Large Neighborhood Search for Capacitated Electric Vehicle Routing Problems,2025,IEEE Transactions on Emerging Topics in Computational Intelligence,10.1109/TETCI.2024.3444698,exclude
A Deep Reinforcement Learning-Based Service Path Prediction Strategy in Multi-Layer LEO Optical Satellite Networks,2025,2025 Asia Communications and Photonics Conference (ACP),10.1109/ACP66871.2025.11350465,exclude
A Discrete Human Evolutionary Optimization Algorithm for Integrated Hybrid Flowshop Scheduling with Sequence-Dependent Setup Times and Split Delivery Vehicle Routing Problems,2025,2025 Thirteenth International Conference on Advanced Cloud and Big Data (CBD),10.1109/CBD69312.2025.00025,exclude
A Diversified Tour-Driven Deep Reinforcement Learning Approach to Routing for Intelligent and Connected Vehicles,2025,Journal of Intelligent and Connected Vehicles,10.26599/JICV.2025.9210064,exclude
A Dynamic Cooperative Ramp Metering and Navigation Guidance Approach Based on Heterogeneous-Agent Reinforcement Learning,2025,IEEE Internet of Things Journal,10.1109/JIOT.2025.3572177,borderline
A Hierarchical Autonomous Parking Method Based on Complexity-Adaptive Hybrid-Action Constrained Reinforcement Learning,2025,"2025 4th International Conference on Automation, Robotics and Computer Engineering (ICARCE)",10.1109/ICARCE67182.2025.11361711,exclude
A Hierarchical Reinforcement Learning Based Framework for Solving Complex Vehicle Routing Problems,2025,2025 Asian Conference on Artificial Intelligence Technology (ACAIT),10.1109/ACAIT67930.2025.11522642,exclude
A Hybrid Deep Reinforcement Learning and Graph Neural Network Approach for Multi-objective Waste Transportation Optimization,2025,"2025 8th International Conference on Algorithms, Computing and Artificial Intelligence (ACAI)",10.1109/ACAI68217.2025.11406622,exclude
A Hybrid Framework Combining Heuristic Search and Reinforcement Learning for Multi-Objective Cold Chain Vehicle Path Optimization,2025,2025 IEEE 4th International Conference of Safe Production and Informatization (IICSPI),10.1109/IICSPI66775.2025.11437581,exclude
A Hybrid Imitation?�Reinforcement Learning Framework for Optimal Operation of Soft Open Points in Unbalanced Distribution Networks,2025,IEEE Transactions on Smart Grid,10.1109/TSG.2025.3600714,exclude
A Hybrid PPO-GNN Framework for Adaptive Vehicle Routing Under Uncertainty: Application to Fuel Delivery Logistics,2025,IEEE Access,10.1109/ACCESS.2025.3635886,exclude
A Large Language Model-Enhanced Q-Learning for Capacitated Vehicle Routing Problem with Time Windows,2025,2025 IEEE 28th International Conference on Intelligent Transportation Systems (ITSC),10.1109/ITSC60802.2025.11423177,exclude
"A Multi-Phase DRL-Driven SDN Migration Framework Addressing Budget, Legacy Service Compatibility, and Dynamic Traffic",2025,IEEE Access,10.1109/ACCESS.2025.3543236,exclude
A Novel Formation Control Strategy for USVs With Improved DDPG: Simulation and Field Test,2025,IEEE Internet of Things Journal,10.1109/JIOT.2025.3597968,exclude
A Novel Hybrid Evolutionary Computing Framework for Scalable and Efficient Problem Solving,2025,2025 4th International Conference on Distributed Computing and Electrical Circuits and Electronics (ICDCECE),10.1109/ICDCECE65353.2025.11036080,exclude
A Novel LLM-Powered Ant Colony Optimization Algorithm for Electric Vehicle Routing Problem,2025,2025 6th International Conference on Artificial Intelligence and Electromechanical Automation (AIEA),10.1109/AIEA66061.2025.11160517,exclude
A Path Planning Model for Urban Firefighting Integrating Visual Geometry Group and Deep Q-network,2025,"2025 8th International Conference on Advanced Electronic Materials, Computers and Software Engineering (AEMCSE)",10.1109/AEMCSE65292.2025.11042439,borderline
A Prior and Posterior Order Postponement Framework for the On-Demand Food Delivery Problem,2025,IEEE Transactions on Intelligent Transportation Systems,10.1109/TITS.2025.3575482,exclude
A Proactive and Hierarchical Workflow Scheduling Scheme for Cloud-Edge-End Collaboration,2025,"2025 5th International Conference on High Performance Computing, Big Data and Communication Engineering (ICHBC)",10.1109/ICHBC68357.2025.11414606,exclude
A Q-Learning-Based Particle Swarm Optimization for Aircraft Routing and Scheduling in Airport Terminal Area,2025,IEEE Transactions on Automation Science and Engineering,10.1109/TASE.2025.3620472,exclude
A Reinforcement Learning Heuristic Framework with Residual Graph Convolutional Networks for Solving the CVRP,2025,2025 IEEE 3rd International Conference on Image Processing and Computer Applications (ICIPCA),10.1109/ICIPCA65645.2025.11138621,exclude
A Reinforcement Learning-Based Path Recommendation Strategy Considering Broadcast Disturbance and Behavioral Response,2025,2025 International Conference on Meta-Networking (MEET),10.1109/MEET67398.2025.11335650,include
A Spatio-temporal Learning and Reinforcement Approach for Self-Healing in Distribution Communication Networks,2025,"2025 5th International Conference on Electronics, Circuits and Information Engineering (ECIE)",10.1109/ECIE65947.2025.11086918,exclude
A Survey of Hierarchical Reinforcement Learning for Combinatorial Optimization in Logistics,2025,2025 6th International Conference on Data Analytics for Business and Industry (ICDABI),10.1109/ICDABI67967.2025.11547569,MISSING
A Trajectory Planning Model for Autonomous Vehicles: Lane Change Manoeuvres Using Fuzzy Logic,2025,2025 International Conference on Innovations and Emerging Technologies In AI & Communication Systems (IETACS),10.1109/IETACS68750.2025.11385724,exclude
A Unified Optimization Framework for Electric Logistics Fleet Management under the Battery Swapping Paradigm,2025,2025 IEEE 9th Conference on Energy Internet and Energy System Integration (EI2),10.1109/EI268505.2025.11425211,exclude
A Vehicle Path Planning and Prediction Algorithm Based on Attention Mechanism for Complex Traffic Intersection Collaboration in Intelligent Transportation,2025,IEEE Transactions on Intelligent Transportation Systems,10.1109/TITS.2024.3512618,exclude
AAV Visual Navigation in the Large-Scale Outdoor Environment: A Semantic-Map-Based Cognitive Escape Reinforcement Learning Method,2025,IEEE Internet of Things Journal,10.1109/JIOT.2025.3532164,exclude
AGV Vehicle Dynamics Optimization in Automated Logistics Warehousing Systems,2025,"2025 11th International Symposium on Sensors, Mechatronics and Automation System (ISSMAS)",10.1109/ISSMAS65783.2025.11102937,exclude
AI-Driven Architectures for Real-Time Decision-Making in Autonomous Vehicles,2025,2025 IEEE International Conference on AI and Data Analytics (ICAD),10.1109/ICAD65464.2025.11114074,exclude
AI-Driven Behavior Prediction in Autonomous Vehicles: A Short Review,2025,2025 4th International Conference on Embedded Systems and Artificial Intelligence (ESAI),10.1109/ESAI67033.2025.11438546,exclude
AI-Driven Customer Retention System for Quick-Commerce Platforms: A Comparative Case of Blinkit and BigBasket,2025,2025 IEEE 5th International Conference on ICT in Business Industry & Government (ICTBIG),10.1109/ICTBIG68706.2025.11323912,exclude
AI-Enabled Emergency Routing Ecosystem: A Survey on Real-Time Ambulance Navigation and Green Corridor Management,2025,2025 OITS International Conference on Information Technology (OCIT),10.1109/OCIT66168.2025.11400240,survey
AI-Optimized Adaptive Routing for High-Performance Data Centers: A Predictive Framework for Dynamic Network Optimization,2025,2025 IEEE 4th World Conference on Applied Intelligence and Computing (AIC),10.1109/AIC66080.2025.11211986,exclude
ATT-D3RQN: An Attention-Based Deep RL Framework for Urban Pursuit-Evasion Games,2025,2025 17th International Conference on Communication Software and Networks (ICCSN),10.1109/ICCSN66511.2025.11172636,exclude
Accelerating Federated Digital Twin Services with Fractal Generative Task Scheduling in ITS,2025,2025 IEEE 102nd Vehicular Technology Conference (VTC2025-Fall),10.1109/VTC2025-Fall65116.2025.11310784,exclude
AdaLane: Adaptive Lane Alignment in Autonomous Driving Agents for Preventing Deviation in Unmarked Roads,2025,2025 IEEE 2nd International Conference on Green Industrial Electronics and Sustainable Technologies (GIEST),10.1109/GIEST66547.2025.11387703,exclude
Adaptive Altitude Control for Underwater Vehicles Based on Deep Reinforcement Learning,2025,2025 8th International Conference on Transportation Information and Safety (ICTIS),10.1109/ICTIS68762.2025.11214834,exclude
Adaptive Deep Reinforcement Learning for Coordinated Autonomous Vehicle Platooning on Edge Networks,2025,TENCON 2025 - 2025 IEEE Region 10 Conference (TENCON),10.1109/TENCON66050.2025.11374918,exclude
Adaptive Fuzzy-Neural AI Models for Dynamic Environment Control,2025,2025 IEEE International Conference on Emerging Trends in Computing and Communication (ETCOM),10.1109/ETCOM66606.2025.11436168,exclude
Adaptive Informative Path Planning for Lightweight AUV in Coastal Benthic Environments,2025,2025 IEEE Underwater Technology (UT),10.1109/UT61067.2025.10947450,exclude
Adaptive PID Tuning for Quadcopters in Dynamic Environments Using Advantage Actor-Critic Reinforcement Learning,2025,2025 International Conference on Emerging Technology in Autonomous Aerial Vehicles (ETAAV),10.1109/ETAAV66793.2025.11213110,exclude
Adaptive and AI-Driven Vehicle Patrol Scheduling with Integrated Emergency Response,2025,IECON 2025 ??51st Annual Conference of the IEEE Industrial Electronics Society,10.1109/IECON58223.2025.11221153,exclude
Addressing Reward Hacking in Autonomous Navigation using a Soft Actor Critic approach,2025,2025 6th International Conference in Electronic Engineering & Information Technology (EEITE),10.1109/EEITE65381.2025.11166040,borderline
Advancements in AI-Powered Electric Vehicle Routing: Multi-Constraint Optimization and Infrastructure Integration Approaches for Evolving EVs?�A Survey,2025,IEEE Access,10.1109/ACCESS.2025.3589363,survey
Airport shuttle vehicle path planning method combining graph neural network and reinforcement learning,2025,2025 8th International Conference on Computer Information Science and Application Technology (CISAT),10.1109/CISAT66811.2025.11181708,exclude
An Adaptive Dynamic Routing Decision-making Method based on Communication-sensing-computing,2025,2025 International Conference on Networking and Network Applications (NaNA),10.1109/NaNA66698.2025.00041,exclude
An Adaptive Service Function Chains Mapping With Multi-Task Deep Reinforcement Learning,2025,IEEE Transactions on Network Science and Engineering,10.1109/TNSE.2025.3556390,exclude
An Attention-Augmented Spatio-Temporal Learning Method for Dynamic Traffic Prediction in LEO Satellite Networks,2025,2025 3rd International Conference on Ubiquitous Communication (Ucom),10.1109/Ucom67224.2025.11336829,exclude
An Efficient Bidirectional Search Hybrid A* Method for Parking Path Planning in Adjacent Vehicle Deviation Scenarios to Enhance Passenger Comfort,2025,Journal of Intelligent and Connected Vehicles,10.26599/JICV.2026.9210072,exclude
An Efficient Sampling Approach to Offspring Generation for Evolutionary Large-Scale Constrained Multi-Objective Optimization,2025,IEEE Transactions on Emerging Topics in Computational Intelligence,10.1109/TETCI.2025.3526268,exclude
An Energy-Optimized Path Spatiotemporal Planning for Underwater Gliders,2025,IEEE Transactions on Control Systems Technology,10.1109/TCST.2025.3573585,exclude
An Explainable RL-Based Speed Adaptation Framework for Autonomous Driving Using a Custom CARLA Environment,2025,2025 16th International Conference on Electrical and Electronics Engineering (ELECO),10.1109/ELECO69582.2025.11329286,exclude
An Information-Assisted Deep Reinforcement Learning Path Planning Scheme for Dynamic and Unknown Underwater Environment,2025,IEEE Transactions on Neural Networks and Learning Systems,10.1109/TNNLS.2023.3332172,exclude
An Intelligent Multi-Layer Control Architecture for Logistics Operations of Autonomous Vehicles in Manufacturing Systems,2025,IEEE Transactions on Automation Science and Engineering,10.1109/TASE.2024.3435342,exclude
An LLM-Assisted AUV 3-D Path Planning Scheme Under Ocean Current Interference via Reinforcement Learning,2025,IEEE Internet of Things Journal,10.1109/JIOT.2025.3540820,exclude
An Online Scheduling and Routing Co-Design Optimization Method for Large-Scale Deterministic Networks,2025,2025 7th International Academic Exchange Conference on Science and Technology Innovation (IAECST),10.1109/IAECST68792.2025.11414890,exclude
An Open Visualization Platform for Route Optimize Solvers for Real-World Logistics System,2025,"2025 International Conference on Computer, Internet of Things and Smart City (CIoTSC)",10.1109/CIoTSC67482.2025.11413211,exclude
Analyzing Decentralized Agent Strategies: Kolmogorov-Arnold Networks Interpretation of Multi-Agent Pursuit in Urban Simulation,2025,2025 IEEE 16th International Symposium on Autonomous Decentralized Systems (ISADS),10.1109/ISADS66912.2025.11159312,MISSING
Ant Colony Optimization With Deep Heuristic Information for Solving Electric Vehicle Routing Problems,2025,IEEE Internet of Things Journal,10.1109/JIOT.2025.3620353,exclude
Application and optimization of reinforcement learning algorithm for coal yard transportation scheduling,2025,"International Conference on Electronics and Devices, Computational Science (ICEDCS 2025)",10.1049/icp.2025.4004,exclude
Application of Reinforcement Learning for Developing Tactics for Using INS in the Event of Information Failures,2025,2025 International Russian Automation Conference (RusAutoCon),10.1109/RusAutoCon65989.2025.11177362,exclude
Applications and Lessons Learned from AI/ML-Driven SDN Control and Management in Optical Transport Networks,2025,2025 IEEE International Conference on Machine Learning for Communication and Networking (ICMLCN),10.1109/ICMLCN64995.2025.11140388,exclude
Artificial Intelligence for Efficient Real-Time Traffic Management in Smart Cities,2025,2025 Asian Conference on Communication and Networks (ASIANComNet),10.1109/ASIANComNet68615.2025.11579722,exclude
Attention-Enhanced Deep Reinforcement Learning for Electric Vehicle Routing Optimization,2025,IEEE Transactions on Transportation Electrification,10.1109/TTE.2025.3574546,exclude
Audio-Guided Visual Perception for Audio-Visual Navigation,2025,2025 International Conference on Virtual Reality and Visualization (ICVRV),10.1109/ICVRV67992.2025.00184,exclude
Augmenting the Robustness of Tactical Maneuver Decision-Making in Unmanned Aerial Combat Vehicles During Dogfights via Prioritized Population Play With Diversified Partners,2025,IEEE Transactions on Aerospace and Electronic Systems,10.1109/TAES.2025.3578294,exclude
Automated Multi-Aircraft Rerouting Under Convective Weather Using Policy-Shared Deep Reinforcement Learning,2025,2025 IEEE 37th International Conference on Tools with Artificial Intelligence (ICTAI),10.1109/ICTAI66417.2025.00043,exclude
Automatic control of unmanned vehicles using DPSN-DDPG,2025,2025 4th International Symposium on Computer Applications and Information Technology (ISCAIT),10.1109/ISCAIT64916.2025.11010391,exclude
Autonomous Agent (AutoAgent) for Self Driving through Reinforcement Learning,2025,"2025 5th International Conference on Robotics, Automation, and Artificial Intelligence (RAAI)",10.1109/RAAI67517.2025.11423365,exclude
Autonomous Driving Economic Car-Following Motion Strategy Based on Adaptive Rollout Model-Based Policy Optimization,2025,IEEE Transactions on Transportation Electrification,10.1109/TTE.2025.3590199,exclude
Autonomous Drone Operator Localization Using UAVs With Reinforcement Learning,2025,2025 IEEE Smart World Congress (SWC),10.1109/SWC65939.2025.00090,exclude
Autonomous Lane Changing Control and Decision Making of Intelligent Connected Vehicles based on Improved Graph Convolutional Network,2025,2025 3rd International Conference on Data Science and Information System (ICDSIS),10.1109/ICDSIS65355.2025.11070941,exclude
Autonomous Operations With a Safe Reinforcement Learning Approach for Urban Rail Transit,2025,IEEE Transactions on Intelligent Transportation Systems,10.1109/TITS.2025.3588585,exclude
Autonomous Vehicle Localization with Deep Reinforcement Learning,2025,2025 Brazilian Symposium on Robotics (SBR) and 2025 Workshop on Robotics in Education (WRE),10.1109/SBR/WRE66973.2025.11249674,exclude
Behavior Tree-Guided Hierarchical Reinforcement Learning for Decision-Making in Sea-Air Collaborative,2025,2025 11th International Conference on Big Data and Information Analytics (BigDIA),10.1109/BigDIA68682.2025.11383169,exclude
Bounded Low Latency via Inverse Reinforcement Learning,2025,IEEE Access,10.1109/ACCESS.2024.3411073,exclude
Bridging Transparency and Control Using Explainable Deep Reinforcement Learning in AI-Powered Autonomous Vehicle,2025,"2025 International Conference on Data, Energy and Communication Networks (DECoN)",10.1109/DECoN67170.2025.11447673,exclude
CARLA Autonomous Driving Using Deep Reinforcement Learning,2025,2025 International Conference on Recent Innovation in Science Engineering and Technology (ICRISET),10.1109/ICRISET64803.2025.11251981,exclude
Circular Arc Based Path Smoothing for Precise Forklift Navigation and Orientation Alignment,2025,"2025 International Conference on Computer Sciences, Engineering, and Technology Innovation (ICoCSETI)",10.1109/ICoCSETI63724.2025.11019470,exclude
Collaborative Management for Spatial Safety for Unmanned Intelligent Vehicles in Human-Machine Coexistence Environment,2025,2025 International Joint Conference on Neural Networks (IJCNN),10.1109/IJCNN64981.2025.11227361,exclude
Collision Avoidance Based on Stochastic Model Predictive Control in Collaboration Between ROV and AUV,2025,IEEE Transactions on Intelligent Transportation Systems,10.1109/TITS.2025.3562204,exclude
Collision-Aware Autonomous Driving System,2025,2025 7th International Conference on Pattern Recognition and Image Analysis (IPRIA),10.1109/IPRIA68579.2025.11263550,exclude
Communication-Aware Hierarchical Driving Control for Collaborative Autonomous Driving,2025,IEEE Internet of Things Journal,10.1109/JIOT.2025.3623592,exclude
Comparative Analysis of Reinforcement Learning for Reliable Real-Time EV Routing and Charging,2025,2025 21st International Conference on the Design of Reliable Communication Networks (DRCN),10.1109/DRCN65040.2025.11046050,borderline
Comparative Review of Algorithms in Vehicle Routing and Rail Container Service Scheduling Problem,2025,"2025 International Conference on Software, Knowledge, Information Management & Applications (SKIMA)",10.1109/SKIMA66621.2025.11155609,exclude
Comprehensive Analysis on Autonomous Driving in Object Detection and Motion Planning using Artificial Intelligence Technique,2025,"2025 International Conference on Communication, Computer, and Information Technology (IC3IT)",10.1109/IC3IT66137.2025.11341251,exclude
Computational Intelligence for Path Planning with Refueling ??A Systematic Review,2025,2025 12th International Conference on Soft Computing & Machine Intelligence (ISCMI),10.1109/ISCMI67495.2025.11358450,survey
Conceptual Framework for Smart Routing in Medical Waste Management,2025,2025 International Conference on Decision Aid Sciences and Applications (DASA),10.1109/DASA68193.2025.11498797,exclude
Conditional Neural Heuristic for Multiobjective Vehicle Routing Problems,2025,IEEE Transactions on Neural Networks and Learning Systems,10.1109/TNNLS.2024.3371706,exclude
Continuously Improved Reinforcement Learning for Automated Driving,2025,2025 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),10.1109/IROS60139.2025.11247462,exclude
Controls for Space: a perspective to 2030s and beyond II,2025,2025 American Control Conference (ACC),10.23919/ACC63710.2025.11107419,exclude
Coordinating Autonomous Vehicles Using Reinforcement Learning,2025,SoutheastCon 2025,10.1109/SoutheastCon56624.2025.10971480,exclude
Cybersecurity Automation Using Capsule Networks for Adaptive Threat Detection and Defense,2025,2025 International Conference on Computational Innovations and Engineering Sustainability (ICCIES),10.1109/ICCIES63851.2025.11033033,exclude
DMIC: Decision-Making Integrated Predictive Control for Intelligent Vehicles,2025,"IEEE Transactions on Systems, Man, and Cybernetics: Systems",10.1109/TSMC.2025.3577691,exclude
DRL-Based User Scheduling for Collaborative Localization in GNSS Denied Environment,2025,2025 IEEE International Workshop on Radio Frequency and Antenna Technologies (iWRF&AT),10.1109/iWRFAT65352.2025.11102892,exclude
DRL-Driven Localization With AAV in Near-Field Communications,2025,IEEE Internet of Things Journal,10.1109/JIOT.2025.3550351,exclude
Decision Optimization in Lane Navigation via Hybrid Imitation and Reinforcement Learning,2025,2025 IEEE 6th Global Conference for Advancement in Technology (GCAT),10.1109/GCAT66372.2025.11368604,exclude
Decision-Making Method Combining Path-Constraint-Based Action Compensation for Autonomous Vehicles,2025,IEEE Sensors Journal,10.1109/JSEN.2025.3574069,exclude
Decision-Making for Autonomous Driving via a Coupled Reinforcement Learning Network Combined With Risk Assessment,2025,IEEE Robotics and Automation Letters,10.1109/LRA.2025.3592081,exclude
Decision-Making for Autonomous Vehicles in Multi-Scenarios With Global Map Model and Dynamic Safe Topological Structure,2025,IEEE Transactions on Intelligent Transportation Systems,10.1109/TITS.2025.3604972,borderline
Deep Learning Method for Fault Location and Quick Repair of Broken Strands and Wires in Distribution Network,2025,2025 Asia Conference on Energy Conversion Systems and Power Electronics (AECSPE),10.1109/AECSPE66597.2025.00033,borderline
Deep Learning in Autonomous Vehicles for Dynamic Decision-Making: Enhancing Safety and Navigation,2025,"2025 3rd International Conference on Communication, Security, and Artificial Intelligence (ICCSAI)",10.1109/ICCSAI64074.2025.11063852,exclude
Deep Reinforcement Learning Algorithm in Intelligent Ship Autonomous Navigation System,2025,2025 IEEE 3rd International Conference on Image Processing and Computer Applications (ICIPCA),10.1109/ICIPCA65645.2025.11139056,exclude
Deep Reinforcement Learning Based on Multi-head Attention for the Multi-Objective Task Allocation in Fire Fighting,2025,2025 China Automation Congress (CAC),10.1109/CAC67268.2025.11487178,exclude
